id,run_id,post_id,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,prompt_contract_version,output_schema_version,created_at,transcript_quality_score,transcript_quality_status,transcript_quality_issues,transcript_quality_impact,needs_retranscription
210,49,0YeiiIpSrP0,transcript_90s,transcript_90s,powertrain,educativo,powertrain__eletrificados,,educativo,entender_powertrain,0.85,"Transcript descreve Jeep Commander híbrida com motor Me Reve, explica como funciona o sistema híbrido, discute consumo e economia e mudanças para 2027.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:38:53.964421+00:00,0.92,usable,,none,False
203,49,4_qw9-un9D0,transcript_90s,transcript_90s,off_road,review,off_road__preparacao_off_road,,educativo,entretenimento,0.75,"Video de encontro de caminhonetes com foco em projetos/off-road, descrevendo modificações como suspensão de 2 polegadas (Ironman Foncell), calçozinho, bandeja/suspensão trocada, bieleta e pneus off-road; principal ênfase em preparação/off-road.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:09:52.956301+00:00,0.78,usable,,low,False
216,49,4FsnWZmuiQ0,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,review,entretenimento,0.75,"Video aponta Honda Civic Si (geração oito) com foco em versões cupê e sedã, comparando estética e apelo esportivo sem abordar diagnóstico, manutenção ou tecnologia de propulsão.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:09:55.153488+00:00,0.85,usable,,none,False
222,49,4VPqBe4zjpo,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__correias_tensores,,educativo,aprender_manutencao,0.82,"Video com Onix apresentando revisão geral com vazamentos, substituição da correia dentada e válvula termostática; demonstração de diagnóstico por scanner da injeção eletrônica; inspeção de TBI sujo, freio, fluido de freio e vela, além de limpeza de componentes.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:38:50.331087+00:00,0.8,usable,,none,False
213,49,5oLUBF-Iu6k,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,noticia,acompanhar_lancamento,0.82,"Video promocional de lançamento do Sonic RS 2027 com preço sugerido (R$ 140.990) e especificações técnicas (motor 1.0 turbo flex, 115 cv; câmbio automático com conversor de torque; consumo informado; mala de 392 litros).",,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:53:46.620787+00:00,0.86,usable,,none,False
205,49,6qSnrkGd70I,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__arrefecimento,,educativo,aprender_manutencao,0.85,"Transcrição descreve limpeza do sistema de arrefecimento com drenagem do fluido antigo, lavagem com água, uso de água desmineralizada e aditivo, finalizando com água desmineralizada.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:18:09.501932+00:00,0.75,usable,,none,False
196,49,9jdCcUr6KDI,transcript_90s,transcript_90s,diagnostico,educativo,diagnostico__direcao_puxando,,educativo,aprender_manutencao,0.82,"Vídeo descreve instalação incorreta de pivô durante alinhamento, levando carro a puxar para um lado, instabilidade e dificuldade de retorno do volante; enfatiza identificação de direcao torta e a importância de alinhamento correto.",pivot/disposição do pivô não tem correspondência exata na taxonomia principal; sugere melhoria para capturar problemas de pivô/montagem durante alinhamento.,revisao humana exigida por filho: vehicle_entity_needs_review; fallback_whisper_medium_failed: The read operation timed out,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:41:14.422908+00:00,0.75,usable,,none,False
214,49,aXbFPJMVGKw,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,review,decidir_compra,0.85,"Avaliação do Changan Uni-T 2026 destacando motor 1.5 turbo, câmbio, design e acabamento, espaço interno e recursos de autopilotagem.",,"transcrição com termos garbled; ocorrencias de palavras não confiáveis (Shanganyanet, nivos); qualidade de transcrição não perfeita; revisao humana exigida por filho: technical_context_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:58:34.701604+00:00,0.68,partially_usable,degraded_entities;excessive_noise,none,False
202,49,BrKVhF-oG80,transcript_90s,transcript_90s,diagnostico,diagnostico,diagnostico__scanner_obd2,,educativo,resolver_problema,0.82,Vídeo foca em diagnóstico usando scanner/OBD2 para identificar falhas de motor/transmissão; menciona reset de bateria como possível solução e leitura de códigos; faz referência a Cruze.,,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:04:42.298452+00:00,0.75,usable,,none,False
207,49,CjFrJg6VCjc,transcript_90s,transcript_90s,review_teste,teste,review_teste__teste_autonomia,,review,entender_powertrain,0.88,"Autonomia estimada de 374 km com 100% da carga; após 150 km, 50% de bateria; uso de modo Eco e regeneração alta; teste de autonomia no trajeto estrada/cidade.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:26:27.262968+00:00,0.85,usable,,none,False
