"post_id","video_url","transcription_status","input_duration_seconds","transcribed_duration_seconds","transcript_90s","language","whisper_model","compute_type","source_method","error_message","created_at"
"KwZFtY1w8FY","https://www.youtube.com/watch?v=KwZFtY1w8FY","success","1584","90","E a Céu, lovo GR, espega o mesmo, motor 1.6 turbo do GR Corolla, porém num carro muito menor com entre-eixos mais curto e consegue ser mais divertido, principalmente com o sistema de graça integral. E sendo um legítimo e esportivo, duas portas e câmbio manual, mas se você quiser tem um tomático também pelo mesmo preço. Que definitivamente não é um preço barato, mas no vídeo de hoje a gente vai ver tudo sobre essa máquina aqui, vamos falar da motorização, 1.6 mais potente do mercado, vamos falar do espaço interno, se tem um pedacinho de espaço aqui pra você sentar no minúsculo porta presuntos, e vamos levar, dá um rolê e ver qual é que é, tanto na versão manual, quanto na versão automática. E não tem lugar melhor pra gente começar a falar do GR e a Aries, do que aqui a parte da frente é bem conhecida pelas pessoas mais legais de mundo como é a frente inteira, eu acho a frenteira bonita, porém lembra bastante o GR Corolla, não, lembra bastante, ele tem todos esses alargadores aqui que deixa o carro bem bonitão, você vê a grade zona, que ele tem um sistema que ele joga água ali no radiador pra esfriar até 25 graus, o carro é bem legal, verdade, seja dito, conjunto óptico, tudo LED, tudo isso daí. Mas vamos falar do que realmente interessa aqui, motorização. E abrindo que então temos acesso ao coração da fera, antes, manta acústica de belíssima e soveritinha, soveritinha, vamos falar da motorização que é pra mesmo.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:23:29+00:00"
"0YeiiIpSrP0","https://www.youtube.com/watch?v=0YeiiIpSrP0","success","1648","90","E aí meus amigos, esta é a nova Jeep Commander 2027 híbrida, versão Overland Me Reve. Porém, não é um híbrido exatamente como você está pensando e neste vídeo eu vou te explicar todo o sistema híbrido dela ou te contar várias curiosidades que eu tenho certeza que você não conhece e principalmente vou mostrar o que mudou para o ano de 2027, se melhorou o consumo, o desempenho, se vale a pena ou não comprar uma commander Overland ou qualquer outra commander equipada com motor Me Reve. Será que é boa mesmo? A gente vai descobrir juntos. Lançada em 2021, a Jeep Commander mora no meu coração e vocês já sabem disso. Afinal de contas, foi o primeiro lançamento que eu fui na vida. É o carro que eu comprei exatamente no primeiro lançamento que eu fui. Adorava o meu commander, simplesmente um carro que eu achava fantástico. Isso não significa que ele fosse perfeito. Ele nunca foi e ele continua não sendo perfeito, ele continua tendo alguns pontos que eu acho que poderiam ser melhores. Mas de fato, eu poderia ser tendencioso por gostar demais do carro, mas não serei. Vou ser bem fraco com vocês, bem honesto e vou...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:24:40+00:00"
"KONPXAjlkn8","https://www.youtube.com/watch?v=KONPXAjlkn8","success","1187","90","Você já reparou que hoje em dia parece que todo mundo quer andar de SUV, gente, e isso não é impressão, os SUVs dominaram o mercado nacional, isso aí é a preferência, uma loucura. E hoje, falando em SUVs, eu quero falar com vocês sobre o Volkswagen T-Cross, e ele claro, entre os SUVs vendidos da categoria, tá lá, ó, na pirâmide, no topo da pirâmide, da cadeia alimentar, lógico de vendas, o que eu tô falando, né, se mantendo sempre líder de categoria, é ele hoje, muitas informações pra você, e gente, olha só, não é um carro barato, versão de entrada, o Sense, tá aí, ó, na faixa do 120pila, se quiser, então, o topo de linha que é o Xtreme, aí prepara mais de 200 pau, mesmo assim, vende igual a água, gente, o que será? Será que o emblema Volkswagen ali na grade do carro já faz vender sozinho, e aquilo lá é suficiente pro brasileiro? Ou tem algo mais por trás? Bom, gente, meu nome, Alex Moreno, sou mecânico, mais de 30 anos de carro, eu entendo, e ó, aqui...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:25:52+00:00"
"cwQIxaJDJAE","https://www.youtube.com/watch?v=cwQIxaJDJAE","success","1931","90","Saudações a todos, garagem moto no ar, muito bem meus amigos, eu comentei esse ano que a gente iria retomar quadros no canal, alguns quadros que eventualmente não estavam mais sendo gravados, estava além dos carros, lógico, a gente está fazendo lá garagem listas, o garagem vlog, tem um Santana vlog agora também, mas esse aqui é o garagem moto, a gente falou do ano passado uma coleção muito bacana em Taubaté, mas hoje eu vim até o centro cultural movimento aqui nas áreas de socorro, circuito das águas, próxima a São Paulo, próxima a Minas, um lugar muito bacana que tem muita história para contar, senta aí e aproveita, porque tem muita cultura sobre duas rodas a partir de agora. Muito bem pessoal, então saldações, estou aqui com Carlão Carlãozinho na verdade, Carlãozinho, vamos contar essa história, obrigado pela receptividade, esse dado socorro nessa região, é uma região que eventualmente eu vim quando era criança, vim muito aqui também como adulto, região muito agradável, visitem aqui o circuito das águas que vale muito a pena e venham ao museu, agora vamos conhecer, agora vou deixar você bem à vontade para falar, para apresentar, qualquer coisa eu vou perguntando, mas vamos deixar rolando. Primeiro Belote, muito obrigado por você ter feito contato, que eu conheci e ajudado a divulgar esse importante para nós, nós que somos apaixonados por história, veículos antigos.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:27:16+00:00"
"cLH17x4LiCA","https://www.youtube.com/watch?v=cLH17x4LiCA","success","1689","90","Fala pessoal do Youtube! Beleza? Sejam muito bem-vindos a mais um vídeo, é um prazer enorme ter você comigo aqui neste canal de apresentação de carros e finalmente hoje chegou o dia de a gente conhecer todos os detalhes da versão mais básica que existe do Iaris Cross pessoal, a XR, depois de um certo tempo a Toyota começou a já disponibilizar esse carro aqui já no showroom, né? Depois de um certo já tempo de lançamento do Iaris. Lembra que eu falei pra vocês assim que chegar a versão de entrada fiquem despreocupados que eu vou filmar. E está aqui galera, vamos conhecer os detalhes hoje, tem poucos vídeos no Youtube sobre esse modelo, então eu acho que merece um like e merece também uma inscrição aí no nosso canal, hein? Antes de mais nada, antes de falar de preço, eu vou deixar o link da bycar aqui na descrição do vídeo, a bycar é a maior plataforma de carros por assinatura do mercado brasileiro, eles trabalham com todos os tipos de veículos e todas as locadoras, eles sempre tem os melhores preços da semana e através do meu link tem desconto, mas tem que ser através do meu link, tá bom pessoal? Tem o QR Code aqui também, o carro por assinatura já foi provado por A mais B, que vocês não perdem dinheiro, você foge da desvalorização, do IPVA, dos custos altíssimos aí de manutenção, manual, semestral, beleza pessoal? A bycar assine e vive a liberdade, eles trabalham com todos os tipos de veículos, tem chineses, tem japoneses, italianos, alemães, enfim, eu posso ficar até amanhã aqui falando a infinidade de...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:28:44+00:00"
"fvt-UH964yA","https://www.youtube.com/watch?v=fvt-UH964yA","success","1195","90","Fala pessoal do YouTube, beleza? Sejam muito bem-vindos a mais um vídeo, é um prazer enorme ter você comigo aqui neste canal de apresentação de carros. E hoje vamos conhecer a diferença entre versões do Kaoha Cherry Tiggo 7, já 2027. Eles têm as três versões aqui da loja, vai ficar faltando uma a hibrida plug-in, mas é bem raro de achar, mas as que mais vendem não adianta, é essas três que eu vou mostrar. Isso aí é um fato e vai por mim. Tá bom? Antes de mais nada, se você não é inscrito em nosso canal, considere se inscrever e se você gostou desse vídeo também deixa seu like. E no final do vídeo eu vou falar com a minha versão preferida desse veículo aqui. Eu não tenho diferença de versões do Tiggo 7 no meu canal. Eu soltei do Tiggo 5, né, esses dias atrás e agora vou falar com o Tiggo 7. Eu estou gravando esse vídeo aqui na Kaoha Cherry, do aeroporto. Aqui é a matriz, galera, na cidade de São Paulo, capital. Avenida Moreira de Marães passa aqui, o aeroporto de Congonhas é ali na frente. Quem já veio aqui, se você já comprou um carro aqui, deixem nos comentários. Eu já encontrei vários seguidores aqui nessa loja e é bem grande, eles estão com as três unidades aqui. Eu não posso perder essa oportunidade. Então vamos lá, antes de mais nada também, galera, de falar de preço, eu vou deixar o link na Baikar, na descrição do vídeo. A Baikar é a maior plataforma de carros por assinatura do mercado brasileiro. Eles trabalham com todos os tipos de veículos. SUV, sedãs...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:30:05+00:00"
"Yel1puu2qGQ","https://www.youtube.com/watch?v=Yel1puu2qGQ","success","82","82","Agora está vindo aí a Tucã, com alguma camuflaja em claro, mas é a primeira aparição de humanidade funcional, um protótipo. Volkswagen Tucã, essa é a pronúncia, feita aí sobre a plataforma MKB, dimensões aí, ó, próximas da montana, maior que a estrada, menor que a toro, como era esperado. Essa aqui é uma versão, é um protótipo, então muita coisa pode mudar, por exemplo, ali estamos freios da tambor, mas não pode ser mudanças aí no projeto, o interior, como vocês vêm, ainda está todo vedado. Não temos informação de motor especulado, especulado não, adiantado pelo jornalista Marlos Nevidal, que vai ser 1.5, híbrido leve, o primeiro eletrificado da marca no Brasil. Ah, esse é o primeiro carro da Volkswagen com um nome estampado na traseira, o nome do modelo, que já tivemos no assaveiro, o nome Volkswagen estampado. A Tucã é a primeira picape feita sobre a plataforma MKB, na traseira a gente falou da atenção claramente insprada na estrada, é um feixe de mola, tem barra estabilizadora, e o feixe de mola de espessura variável, para conciliar ali conforto e capacidade de carga não revelada. A única informação técnica revelada, mas sem números, é que a Tucã é o carro, como plataforma MKB, com maior entre-eixos de todos.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:30:36+00:00"
"UMEYwVvLsGM","https://www.youtube.com/watch?v=UMEYwVvLsGM","success","168","90","Mais de 30 milhões de reais, 2.000 cavalos, 0 a 309 segundos e 100% elétrico. Dá uma olhada nesse carro. Esse aqui é o Lotus Evaia, que a gente lê até Evigia, que você vai falar, tá, Matheus, mas que carro é esse? É carro da marca mais luxuosa do grupo Gili, ou seja, do grupo que você já viu a gente falar tanto de Volvo, Lotus, Paulista, mais uma, a Lotus. São só 130 no mundo e o objetivo foi fazer um dos carros elétricos mais surreais. Então veja que tem carbono aqui na parte inferior, carbono na parte interna, carbono no topo do carro, fazendo com que ele fique mais leve no topo e tendo melhor distribuição do peso. E até aqui a traseira, o aerofólio ativo também carbono. Podas de cubo rápido, freio a disco, de cerâmica perfurado e você pode ver a logo da Lotus com o pneu espirele troféu R, é, a frente, atrás. Detalhe para a passagem de ar que vai quase no meio do carro e olha onde vai ser a saída. Aqui, embaixo do aerofólio, você pode ver que tem um trabalho de aerodinâmica absurdo por que? Para manter o carro mais preso no solo possível. Feito a mão na Inglaterra pela Lotus, carregando lento, mas poderia carregar rápido, tudo em carbono e olha esse visual, vamos afastar um pouco, pode ver que a gente tem uma parte de refrigeração, as duas passagens de ar. No topo do carro ele tem a suspensão, é como um F1 mesmo, que você pode ver que tem ali até o sistema eibar de suspensão, em que o carro é todo pensado.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:31:19+00:00"
"Sth4l0Kc2NY","https://www.youtube.com/watch?v=Sth4l0Kc2NY","success","48","48","Essa pista representa um pedacinho do Brasil na China, esse é o campo de provas da Xang'an em Chongqing e ele tem várias condições que são encontradas nas vias brasileiras. Uma dessas condições é a famosa Lombada, quebra-molas, lomba. Esses calombos enormes de concreto ou asfalto que são uma berração das nossas vias e que deixam muitos fabricantes de cabelos em pé. É que o tamanho dessas lombadas representa um esforço diferente para a suspensão dos carros e suspensão é algo que tem que ser bem calibradinho. Essa pista também simula ondulações e bandas de asfalto e ainda tem partes de paralelipípedo mal encaixado para simular também algumas condições das cidades brasileiras.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:31:34+00:00"
"yAytAka2dfg","https://www.youtube.com/watch?v=yAytAka2dfg","success","27","27","É, meu amigo, eu sinto muito dizer, mas se você para de buscar conhecimento, se você para de aprender, você fica para trás. A mecânica, ela evolui todos os dias. A oficina precisa acompanhar essa evolução, por isso que eu vou estar lá na Jópsis compartilhando o conhecimento prático para a gente superar o nível técnico da parte de geometria do alinhamento da sua oficina. A gente se vê lá no curso, se inscreva no ponto com vocês, bora!","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T17:31:43+00:00"
