codigo_ficha,ficha_url,page_title,group_name,field_name,field_value,image_urls,source_row_text
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83%",Página Principal > Catálogo > Ficha técnica,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Ficha Técnica Busca detalhada,Compartilhe:,https://www.carrosnaweb.com.br/imgsite/ico_carta.gif | https://www.carrosnaweb.com.br/imgsite/ico_face.gif | https://www.carrosnaweb.com.br/imgsite/ico_twitter.gif | https://www.carrosnaweb.com.br/imgsite/ico_pinterest.gif,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Ano,2026,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Preço,R$ 106.210,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Desvalorização,"14,82%",,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Propulsão,Combustão,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Combustível,Flex (álcool/gasolina),,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,IPVA,R$ 4.248 1,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Seguro,R$ 3.399 2,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",GERAL,Revisões,R$ 5.479 até 60.000 km,,"Página Principal > Catálogo > Ficha técnica Ficha Técnica Busca detalhada Compartilhe: Renault Kardian Evolution 1.0 AT Ano 2026 Preço R$ 106.210 Desvalorização 14,82% Propulsão Combustão Combustível Flex (álcool/gasolina) IPVA R$ 4.248 1 Seguro R$ 3.399 2 Revisões R$ 5.479 até 60.000 km Procedência Nacional Garantia 3 anos Configuração Hatchback Porte Compacto Lugares 5 Portas 4 Plataforma RGMP Nota do leitor 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 Índice CNW 7.138,27 Latin NCAP 5 Ranking CNW 522 Proteção adulto 83% | Página Principal > Catálogo > Ficha técnica | Ficha Técnica Busca detalhada | Compartilhe: | Renault Kardian Evolution 1.0 AT | Ano | 2026 | Preço | R$ 106.210 | Desvalorização | 14,82% | Propulsão | Combustão | Combustível | Flex (álcool/gasolina) | IPVA | R$ 4.248 1 | Seguro | R$ 3.399 2 | Revisões | R$ 5.479 até 60.000 km | Procedência | Nacional | Garantia | 3 anos | Configuração | Hatchback | Porte | Compacto | Lugares | 5 | Portas | 4 | Plataforma | RGMP | Nota do leitor | 8,8 Avalie 10 9 8 7 6 5 4 3 2 1 0 | Índice CNW | 7.138,27 | Latin NCAP | 5 | Ranking CNW | 522 | Proteção adulto | 83% | Proteção a pedestres | 73%"
