"context_id","post_id","source_lot","context_order","topic_path","topic_path_secondary","automotive_system","component","problem","context_role","evidence_text","compatibility_status","validation_issue","needs_human_review","round_id"
"tc_001","pINW53ErjQI","piloto_38","1","fora_escopo > transito_comportamento","","","","","incidental","O transcript cita carro fervendo e trambulador quebrado apenas como consequencia incidental de uma narrativa de transito.","not_applicable","fora_escopo nao deve receber contexto tecnico principal.","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_002","_j1gOOnjgcU","piloto_38","1","manutencao_reparo > manutencao_preventiva > limpeza_componentes","","eletrica_eletronica","bateria_12v","","primary","Limpeza dos polos da bateria com limpa contatos e protecao contra zinabre.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_003","_j1gOOnjgcU","piloto_38","2","manutencao_reparo > manutencao_preventiva > limpeza_componentes","","eletrica_eletronica","sensor_oxigenio","consumo_alto","supporting","Limpeza da sonda lambda para melhorar leitura e economia.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_004","_j1gOOnjgcU","piloto_38","3","manutencao_reparo > manutencao_preventiva > limpeza_componentes","","eletrica_eletronica","sensor_maf","consumo_alto","supporting","Limpeza do sensor MAF perto do filtro de ar ou coletor para remover sujeira que causa alto consumo.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_005","_j1gOOnjgcU","piloto_38","4","manutencao_reparo > manutencao_preventiva > limpeza_componentes","","motor","vela","consumo_alto","supporting","Limpeza e regulagem das velas com verificacao de folga do eletrodo para economia de combustivel.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_006","z55GnDEg7_U","piloto_38","1","manutencao_reparo > reparo_corretivo > troca_motor","manutencao_reparo > custo_reparo > orcamento_manutencao","motor","motor_conjunto","falha_de_motor","primary","Diagnostico correto identificou motor ruim e decisao entre retifica geral ou troca do motor.","allowed","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_007","z55GnDEg7_U","piloto_38","2","manutencao_reparo > manutencao_preventiva > oleo_filtros","manutencao_reparo > reparo_corretivo > troca_motor","motor","oleo_motor","oleo_vencido","supporting","Carbonizacao e borra indicam ausencia de troca de oleo ou oleo incorreto.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_008","z55GnDEg7_U","piloto_38","3","manutencao_reparo > reparo_corretivo > reparo_motor","manutencao_reparo > reparo_corretivo > troca_motor","motor","motor_conjunto","problema_cronico","supporting","O narrador pergunta se e problema cronico ou falta de manutencao antes de acompanhar desmontagem.","allowed_with_evidence","Problema cronico exige confirmacao posterior porque a fala tambem sugere falta de manutencao.","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_009","CjFrJg6VCjc","piloto_38","1","review_teste > teste_autonomia","powertrain > eletrico > autonomia","powertrain","bateria_tracao","","primary","Teste acompanha carga da bateria do BYD Dolphin Mini e quilometragem rodada em modo eco.","allowed","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_010","nP0q6x1Uqs0","piloto_38","1","mercado_produto > mercado_eletrificados","powertrain > eletrico","powertrain","bateria_tracao","","primary","Discussao de mercado de eletricos com BYD Dolphin, preco, bateria e autonomia.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_011","JGzj254Kgs4","piloto_38","1","review_teste > review_veiculo","mercado_produto > compra_venda > carro_popular","powertrain","motor_eletrico","","primary","Changan Lumin e apresentado como carro 100% eletrico urbano e barato.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_012","6qSnrkGd70I","piloto_38","1","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","fluido_arrefecimento","sistema_sujo","primary","Procedimento de troca do fluido de arrefecimento e lavagem do sistema.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_013","6qSnrkGd70I","piloto_38","2","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","aditivo_arrefecimento","fluido_vencido","supporting","Aditivo velho foi retirado antes da limpeza e troca do sistema.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
