classification_result_id,entity_order,vehicle_brand_raw,vehicle_model_raw,vehicle_year,vehicle_generation,evidence_text,entity_status,catalog_row_id,catalog_model_id,catalog_match_level,canonical_manufacturer_name,canonical_model_name,canonical_model_year,match_confidence,match_source,validation_issue,post_id
196,1,Volkswagen,,,,carros da linha Volkswagen,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,9jdCcUr6KDI
197,1,,Corolla,,,"E é séio, lovo GR, espega o mesmo, motor 1.6 turbo do GR Corolla, porém num carro muito menor com entre-eixos mais curto e consegue ser mais divertido, principalment",matched,,1340,model,Toyota,Corolla,,0.9,carrosnaweb_catalog_script:transcript_90s,,KwZFtY1w8FY
197,2,,Yaris,,,COM CAMBIO MANUAL! SIMPLESMENTE ANIMAL PENA QUE É CARO - Avaliação GR Yaris MANUAL,matched,,1361,model,Toyota,Yaris,,0.9,carrosnaweb_catalog_script:title,,KwZFtY1w8FY
198,1,GWM,Ora 5,,,R$ 159.000: GWM Ora 5 elétrico mira em SUVS A COMBUSTÃO e põe 'irmão' em risco,matched,,611,model,GWM,Ora 5,,0.9,carrosnaweb_catalog_script:title,,ZspY7eFGJXo
201,1,Toyota,RAV4,,,"Esse Rav4 tá um pouquinho empoerado, com as rodas um pouquinho sujas, mas é por um bom motivo. Descobri que esse ca",matched,,1356,model,Toyota,RAV4,,0.9,carrosnaweb_catalog_script:transcript_90s,,VzRl2S0RkPc
202,1,,Cruze,,,"a dar uma resetada e volta a funcionar. E na época que eu tive um Cruze, o Cruze a gente sabe que tem um problema crônico de câmbio. O câmbio 6T30, se você não ficar ligado é um câ",matched,,311,model,Chevrolet,Cruze,,0.9,carrosnaweb_catalog_script:transcript_90s,,BrKVhF-oG80
203,1,,Tocantins,,,"op aqui e mais outras camionetes muito top aqui. Eu tô em Palmas no Tocantins, vim pra Agrotins e encontrei uma turma muito, mas muito gente boa do Project Truck. E aí, Gurizada, v",matched,,627,model,Gurgel,Tocantins,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
203,2,,Hilux,,,"tos que capricho, Gurizada, e não são só esses dois não, tem mais uma Hilux Top aqui e mais outras camionetes muito top aqui. Eu tô em Palmas no Tocantins, vim pra Agrotins e encon",matched,,1350,model,Toyota,Hilux,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
203,3,,S10,,,"onetes que eu já conheço há muito tempo na internet. Felipe, a S10 Mula Preta tá famosa, né? A S10 Mula Preta deu uma repercussãozinha boa aí, né? Sempre que eu posto ela, a galera",matched,,337,model,Chevrolet,S10,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
206,1,Lotus,Evija,,,"Dá uma olhada nesse carro. Esse aqui é o Lotus Evaya, que a gente lê até Evija, que você vai falar, tá, Matheus, mas que carro é esse? É carro da marca mais luxuosa do grupo Gili,",matched,,872,model,Lotus,Evija,,0.9,carrosnaweb_catalog_script:transcript_90s,,UMEYwVvLsGM
