classification_result_id,context_order,topic_path,topic_path_secondary,automotive_system,component,problem,context_role,compatibility_status,validation_issue,needs_human_review,evidence_text,post_id
196,1,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,,rodagem_direcao,alinhamento,direcao_puxando,primary,allowed_with_evidence,,False,pivot invertido durante alinhamento causou carro puxando; instalacao com pivot invertido; roda recua; carro sem estabilidade; retorno do volante comprometido,9jdCcUr6KDI
197,1,review_teste,,motor,turbo,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,motor 1.6 turbo,KwZFtY1w8FY
197,2,review_teste,,powertrain,tracao_integral,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,tracao integral,KwZFtY1w8FY
197,3,review_teste,,powertrain,cambio_manual,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,câmbio manual,KwZFtY1w8FY
198,1,powertrain__eletrificados,,powertrain,bateria_tracao,,secondary,allowed_with_evidence,,False,Ora 5 elétrico mencionado no vídeo,ZspY7eFGJXo
199,1,diagnostico__scanner_obd2,,eletrica_eletronica,scanner,leitura_km,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,Esse scanner aqui é da Lauch... ele é um scanner da Lauch; mostra a quilometragem do carro; utiliza leitura com OBD2,R3y-lSe0K4s
202,1,diagnostico__scanner_obd2,,eletrica_eletronica,,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,scanner; OBD2; leitura de código de erro,BrKVhF-oG80
202,2,diagnostico__falha_motor,,motor,motor_conjunto,falha_de_motor,secondary,allowed_with_evidence,,False,motor falhando; funcionamento irregular; referência a reset de bateria que afetou módulo,BrKVhF-oG80
202,3,diagnostico__falha_cambio,,transmissao,cambio_automatico,tranco_cambio,secondary,allowed_with_evidence,,False,referência ao câmbio 6T30 com problema crônico; menciona câmbio e marcha lenta,BrKVhF-oG80
203,1,off_road__preparacao_off_road,,suspensao,amortecedor,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,Suspensão de 2 polegadas com Ironman Foncell,4_qw9-un9D0
203,2,off_road__preparacao_off_road,,suspensao,bandeja_suspensao,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,A bandeja fica bem no meio e foi trocada,4_qw9-un9D0
203,3,off_road__preparacao_off_road,,suspensao,bieleta,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,bieleta trocada,4_qw9-un9D0
