post_id,source_lot,video_type,creator,title,baseline_exists,new_exists,baseline_topic_path,new_topic_path,topic_path_changed,baseline_needs_human_review,new_needs_human_review,needs_human_review_changed,baseline_confidence_score,new_confidence_score,confidence_delta,baseline_transcript_quality_score,new_transcript_quality_score,transcript_quality_delta,new_transcript_quality_status,new_taxonomy_gaps,new_validation_issues
pINW53ErjQI,batch_1_piloto,short,edumartins car,MUITO CUIDADO AO DIRIGIR!,True,True,fora_escopo__transito_comportamento,fora_escopo,True,False,False,False,0.78,0.92,0.14,0.75,0.85,0.1,usable,,
_j1gOOnjgcU,batch_1_piloto,short,carupdicasautomotivas,Quase ninguem faz! #dicasautomotivas #mecanicadescomplicada #mecanicaautomotiva,True,False,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,False,False,,False,0.92,,,0.85,,,,,
z55GnDEg7_U,batch_1_piloto,short,Carros com Tiago,Quanto custa o motor do Kwid ?,True,True,manutencao_reparo__reparo_corretivo__reparo_motor,manutencao_reparo__reparo_corretivo__reparo_motor,False,False,True,True,0.88,0.92,0.04,0.75,0.75,0.0,usable,,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review"
CjFrJg6VCjc,batch_1_piloto,short,Carros com Tiago,Testei a autonomia do Byd Dolphin Mini Gs no extremo,True,True,powertrain,review_teste__teste_autonomia,True,True,False,True,0.85,0.88,0.03,0.92,0.85,-0.07,usable,,
nP0q6x1Uqs0,batch_1_piloto,short,Eletricarbr,Brasil Cheio de Eletricos por Culpa Dele: NOVO BYD Dolphin SE - R$ 159 Mil,True,True,mercado_produto__analise_mercado,mercado_produto__lancamentos,True,True,True,False,0.85,0.82,-0.03,0.82,0.85,0.03,usable,,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review"
JGzj254Kgs4,batch_1_piloto,long,CarroChefe,O CARRO POPULAR DE VERDADE! 25 SALARIOS MIMOS POR UM UM ZERO KM COMPLETO! VC TERIA?,True,False,mercado_produto__compra_venda__carro_popular,,False,True,,False,0.92,,,0.9,,,,,
6qSnrkGd70I,batch_1_piloto,long,MEGA DICAS AUTOMOTIVAS,NAO TIRO MAIS DO CARRO! COMO MELHORAR E DEIXAR A AGUA DO RADIADOR REALMENTE LIMPA PRA SEMPRE!,True,True,manutencao_reparo__manutencao_preventiva__arrefecimento,manutencao_reparo__manutencao_preventiva__arrefecimento,False,False,False,False,0.92,0.85,-0.07,0.82,0.75,-0.07,usable,,
aXbFPJMVGKw,batch_1_piloto,long,CarroChefe,ACABOU PRA VW JEEP E TOYOTA! Avaliacao Changan Uni-T 2026,True,True,review_teste__review_veiculo,review_teste__review_veiculo,False,True,True,False,0.85,0.85,0.0,0.75,0.68,-0.07,partially_usable,,"transcrição com termos garbled; ocorrencias de palavras não confiáveis (Shanganyanet, nivos); qualidade de transcrição não perfeita; revisao humana exigida por filho: technical_context_needs_review"
RTZHxSE2t5M,batch_1_piloto,long,Meu Carro Life Style,MECANICOS EM PANICO? MILHARES DE CARROS DESCARTAVEIS DESPEJADOS em nosso MERCADO! E AGORA?,True,True,pos_venda_reparacao__gargalo_oficinas,pos_venda_reparacao__gargalo_oficinas,False,True,True,False,0.88,0.92,0.04,0.82,0.85,0.03,usable,,revisao humana exigida por filho: technical_context_needs_review
UtWYJfldWHA,batch_1_piloto,long,Quatrorodas,R$ 169.990! Caoa Changan Uni-T estreia NACIONAL FLEX e e equipado como CARRO DE LUXO,True,True,mercado_produto__estreia_marca,mercado_produto__estreia_marca,False,False,False,False,0.92,0.75,-0.17,0.85,0.8,-0.05,usable,,
