id,run_id,post_id,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,prompt_contract_version,output_schema_version,created_at,transcript_quality_score,transcript_quality_status,transcript_quality_issues,transcript_quality_impact,needs_retranscription,round_id,run_status,run_started_at,run_completed_at
175,48,_j1gOOnjgcU,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__limpeza_componentes,manutencao_reparo__manutencao_preventiva__limpeza_componentes,educativo,aprender_manutencao,0.92,"Transcrição descreve quatro manutenções preventivas: limpeza de polos da bateria, limpeza da sonda lambda, limpeza do sensor MAF, limpeza e regulagem das velas.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:41:35.73069+00:00,0.85,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
174,48,0YeiiIpSrP0,transcript_90s,transcript_90s,powertrain,educativo,powertrain__hibrido__sistema_hibrido,mercado_produto__analise_mercado,educativo,decidir_compra,0.85,"Explica o funcionamento do sistema híbrido leve (MHEV) do Jeep Commander e avalia consumo, desempenho e potencial de compra, com menção a preço e valor de mercado.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:35:56.938361+00:00,0.88,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
168,48,4_qw9-un9D0,transcript_90s,transcript_90s,off_road,review,off_road__suspensao_off_road,off_road__trilha,entretenimento,entretenimento,0.92," Transcript descreve encontro de caminhonetes em Palmas/TO com foco em off-road e modificações: Hilux Top e S-10 Mula Preta/S-10 Zona; alterações na suspensão (Ironman Foncell) com 2 polegadas de lift, calço, troca de bandeja e bieleta, espaçadores traseiros/frente, pneus 33x12,5; menção de off-road e trilha.",,"revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:08:55.110451+00:00,0.85,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
182,48,4FsnWZmuiQ0,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,entretenimento,comparar_opcoes,0.85,"Transcrição foca em Civic Si (geração 8), discutindo cupê vs sedã, convidando o público a debater nos comentários; não há conteúdo técnico.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T16:13:41.574629+00:00,0.88,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
187,48,4VPqBe4zjpo,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__correias_tensores,diagnostico,educativo,aprender_manutencao,0.82,"Video apresenta Onix com 140 mil km passando por revisão/ manutenção preventiva: troca da correia dentada (corredentada) e tensores, substituição da válvula termostática, observação de vazamentos no sistema de arrefecimento e diagnóstico de falha de motor com menção de scanner.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T16:42:07.195626+00:00,0.75,usable,incoherent,low,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
178,48,5oLUBF-Iu6k,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,powertrain__combustao__turbo,noticia,acompanhar_lancamento,0.92,"Video apresenta Sonic RS 2027 como lançamento, com motor 1.0L turbo flex produzindo 115 cv e ~18 kgfm, câmbio automático, consumo estimado (etanol/gasolina) e recursos como faróis LED, porta-malas de 392 L, espaço interno, entre outros.",,"revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:54:39.80282+00:00,0.86,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
171,48,6qSnrkGd70I,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__arrefecimento,,educativo,aprender_manutencao,0.92,"Transcrição descreve limpeza e manutenção do sistema de arrefecimento: remoção do aditivo antigo, lavagens do circuito, drenagens, uso de água desmineralizada e aditivo novo para restabelecer o fluxo adequado.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:16:45.64288+00:00,0.82,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
162,48,9jdCcUr6KDI,transcript_90s,transcript_90s,diagnostico,diagnostico,diagnostico__direcao_puxando,,educativo,resolver_problema,0.88,"Transcript descreve instalação incorreta de pivô na linha Volkswagen levando a desalinhamento, recuo da roda, instabilidade e dificuldade de retorno de direção.",,revisao humana exigida por filho: vehicle_entity_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T14:34:41.589307+00:00,0.87,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
179,48,aXbFPJMVGKw,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,powertrain__combustao__turbo,review,decidir_compra,0.85,"Avaliação de veículo Changan Uni-T 2026 com motor 1.5 turbo, câmbio e acabamento; foco na avaliação geral do veículo.",termino nao mapeado: Shanganyanet no transcript,transcrição com termos não mapeados (Shanganyanet); grafias confusas/erro de pronúncia no transcript_90s; segmento pode conter ruídos de fala que afetam clareza; fallback_whisper_medium_failed: validacao:validate_context: context topic_path_secondary inexistente: powertrain__transmissao__cambio,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:59:54.065756+00:00,0.75,usable,truncated;incoherent;degraded_entities,low,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
193,48,Bcf0ikE2Aac,transcript_90s,transcript_90s,mercado_produto,analise_mercado,mercado_produto__mercado_chineses,powertrain__hibrido__plug_in,educativo,entender_mercado,0.82,"Analisa a entrada de híbridos plug-in chineses no mercado, citando consumo de 20,8 km/l, possibilidade de recarga em casa e a dinâmica de Brasil/estréia de marcas chinesas.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T17:02:25.40422+00:00,0.85,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
167,48,BrKVhF-oG80,transcript_90s,transcript_90s,diagnostico,diagnostico,diagnostico,manutencao_reparo__reparo_corretivo__reparo_motor,educativo,resolver_problema,0.88,"Transcrição aborda reset de bateria para corrigir falha de motor associada a um módulo, menciona uso de scanner para aprendizagem/editação pelo scanner e mudanças no câmbio após o reset.",termo recete de bateria não mapeado; menções a Scania/Cruze como exemplos não relacionados ao tema técnico principal,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:03:03.246261+00:00,0.85,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
153,42,CjFrJg6VCjc,transcript_90s,transcript_90s,powertrain,teste,powertrain,,review,entender_powertrain,0.85,"Autonomia de BYD Dolphin Mini testada: autonomia anunciada de 374 km com carga total; relato detalha consumo, regeneração e estado da bateria durante o trajeto.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-03T19:52:31.363937+00:00,0.92,usable,,none,False,v2_transcript_90s_20260803T194904Z,failed,2026-08-03T19:49:04.620757+00:00,2026-08-03T20:08:51.577672+00:00
173,48,cLH17x4LiCA,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,review,decidir_compra,0.85,"Video apresenta a versão de entrada Toyota Yaris Cross XR (2026); avaliação de pontos positivos e negativos, com foco no lançamento e preço.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:27:58.250325+00:00,0.75,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
169,48,cwQIxaJDJAE,transcript_90s,transcript_90s,fora_escopo,nao_aplicavel,fora_escopo,,,,0.92,Video sobre motos (duas rodas) e cultura/garagem; assunto fora do escopo automotivo técnico.,,video fora do escopo automotivo; nao ha contexto tecnico,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:11:25.567826+00:00,0.82,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
170,48,DWYtJ3UHTXs,transcript_90s,transcript_90s,diagnostico,diagnostico,diagnostico__direcao_puxando,,educativo,resolver_problema,0.8,"Transcrição descreve RaiLux SW4 com provável desalinhamento/puxando para um lado; diagnóstico de direção/alinhamento, com duas unidades apresentando o mesmo problema.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T15:14:10.033507+00:00,0.75,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
195,48,FaobcvNYgUc,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,mercado_produto__compra_venda,review,decidir_compra,0.92,"Transcrição descreve Renault Sandero Stepway com câmbio automático, avaliando preço, consumo e viabilidade de compra. Principal tema: avaliação do veículo (review); tema secundário: análise de compra/valor de mercado.",,revisao humana exigida por filho: technical_context_needs_review; fallback_whisper_medium_failed: The read operation timed out,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-04T17:11:46.173978+00:00,0.92,usable,,none,False,v2_transcript_90s_20260804T143116Z,failed,2026-08-04T14:31:16.697385+00:00,2026-08-04T17:11:48.138177+00:00
