post_id,evaluation_stage,input_evidence_level,input_description_status,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
P-Pr_DiYeTg,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Chevrolet,Camaro,exact_year,2012,,powertrain,motor_v8_aspirado,,0.93,"Titulo explicita avaliacao, Camaro 2012, V8 usado e decisao de compra.","muscle_car; esportivo_usado","Descricao real ausente; classificacao baseada em titulo e metadados.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
P-Pr_DiYeTg,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Chevrolet,Camaro,exact_year,2012,,powertrain,"motor_v8_aspirado; cambio_automatico; tracao_traseira",,0.97,"Transcript confirma review de Chevrolet Camaro V8 2012 usado, com motorizacao, cambio, tracao, espaco interno, visibilidade e teste ao volante.","muscle_car; esportivo_usado; tracao_traseira","Motor/cambio/tracao entram como contexto tecnico, nao como topic_path.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
kqZ2uDy8Uko,descricao,titulo_metadados,ausente,review_teste,test_drive,review_teste > test_drive,review_teste > review_veiculo,review,decidir_compra,Nissan,Kicks,exact_year,2026,Exclusive,powertrain,,,0.96,"Titulo explicita test drive e avaliacao do novo Nissan Kicks Exclusive 2026 com mais de 800 km rodados e pergunta de compra.","versao_veiculo","Descricao real ausente; title tem evidencia forte.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
kqZ2uDy8Uko,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,review_teste > test_drive,review,decidir_compra,Nissan,Kicks,exact_year,2026,Exclusive,powertrain,"motor; suspensao; tecnologia_seguranca",,0.98,"Transcript confirma avaliacao completa do novo Kicks Exclusive: externa, interna, motorizacao, tecnologia, seguranca, suspensao, pontos positivos/negativos e voltinha.","versao_veiculo; tecnologia_seguranca","Sistema/componente aparecem como escopo do review, nao como manutencao ou diagnostico.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
AdHJ5Xy0X48,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > preco_posicionamento > custo_beneficio,review,decidir_compra,Renault,Boreal,,,,powertrain,,,0.9,"Titulo indica Renault Boreal, vale a pena comprar, SUV, preco, consumo, problema, pontos bons/ruins e avaliacao.","suv_medio; problemas_em_review","Descricao real ausente; ano nao explicito no titulo.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
AdHJ5Xy0X48,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > lancamentos,review,decidir_compra,Renault,Boreal,launch_year,2025,,powertrain,,,0.94,"Transcript confirma review do Renault Boreal, SUV lancado em 2025, com proposta de destrinchar se e bom e pontos relevantes do carro.","suv_medio; launch_year_vs_model_year","Ano citado parece ano de lancamento, nao necessariamente ano/modelo; manter revisao se for usado como model_year.",true,gpt-5.5_exploratorio_chat,review_novos_usados_r1
jTtiWaybMvw,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Renault,Duster,,,,powertrain,motor_16,,0.95,"Titulo explicita SUV usado procurado/desejado/vendido, Renault Duster 1.6 e avaliacao.","suv_usado; motor_16","Descricao real ausente; ano nao explicito.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
jTtiWaybMvw,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Renault,Duster,,,,powertrain,motor_16,,0.97,"Transcript confirma review de Renault Duster usado na faixa de R$ 50 mil, com leitura de compra, robustez, manutencao barata e ressalva de que nem tudo sao flores.","suv_usado; faixa_preco; robustez","Preco/faixa de preco poderia virar atributo comercial futuro.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
0CMfwALqz-E,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Volkswagen,Golf Variant,exact_year,2017,,powertrain,,problemas_em_review,0.95,"Titulo explicita Volkswagen Golf Variant 2017, avaliacao, review, consumo, preco e problemas.","wagon_perua; problemas_em_review","Problem ainda nao e defeito tecnico canonico; e promessa editorial do review.",true,gpt-5.5_exploratorio_chat,review_novos_usados_r1
0CMfwALqz-E,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > mercado_usados,review,decidir_compra,Volkswagen,Golf Variant,exact_year,2017,,powertrain,"motor; equipamentos",problemas_potenciais,0.96,"Transcript confirma review de Golf Variant, categoria wagon/perua, equipamentos, vantagens e problemas que dependendo do ano podem incomodar.","wagon_perua; problemas_potenciais","Problemas aparecem de forma generica nos 90s; nao preencher componente/problema especifico sem evidencia.",true,gpt-5.5_exploratorio_chat,review_novos_usados_r1
