"post_id","evaluation_stage","input_evidence_level","input_description_status","automotive_domain","activity_type","topic_path","content_type","audience_intent","vehicle_brand","vehicle_model","year_reference_type","vehicle_year","vehicle_generation","automotive_system","component","problem","confidence_score","evidence_summary","taxonomy_gaps","validation_issues","needs_human_review","model_used","round_id"
"pINW53ErjQI","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","fora_escopo","alerta","fora_escopo > transito_comportamento","alerta","evitar_prejuizo","","","","","","","","","0.48","Titulo indica alerta de direcao/transito, mas nao ha evidencia de tema tecnico automotivo na entrada por descricao.","alerta_transito; fora_escopo_automotivo","descricao real ausente; classificacao depende do titulo ambiguo","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"_j1gOOnjgcU","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","manutencao_reparo","manutencao_preventiva","manutencao_reparo > manutencao_preventiva","tutorial","aprender_manutencao","","","","","","","","","0.62","Titulo e hashtags indicam dica pratica de mecanica/manutencao, sem evidencia suficiente do componente especifico.","procedimento_manutencao_generico","descricao real ausente; nao inferir subnivel profundo sem procedimento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"z55GnDEg7_U","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","manutencao_reparo","orcamento","manutencao_reparo > custo_reparo > orcamento_manutencao","educativo","evitar_prejuizo","","Kwid","","","","motor","motor_conjunto","","0.74","Titulo pergunta quanto custa o motor do Kwid; o foco provavel e custo de reparo/troca de motor, nao motor como nicho solto.","orcamento_reparo; custo_motor","marca nao explicita no titulo; problema ainda nao evidenciado","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"CjFrJg6VCjc","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","review_teste","teste","review_teste > teste_autonomia","review","entender_powertrain","BYD","Dolphin Mini","","","","powertrain","bateria_tracao","","0.88","Titulo explicita teste de autonomia do BYD Dolphin Mini, com foco em experiencia de uso de eletrico.","autonomia_eletrica; consumo_energia","ano nao deve ser inferido pelo titulo/metadados se nao estiver no campo de entrada canonico","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"nP0q6x1Uqs0","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","mercado_produto","lancamento","mercado_produto > mercado_eletrificados","noticia","acompanhar_lancamento","BYD","Dolphin SE","","","","powertrain","bateria_tracao","","0.86","Titulo cruza novo BYD Dolphin SE, preco e crescimento de eletricos no Brasil; dominio principal e mercado de eletrificados.","efeito_dolphin; preco_lancamento","sem descricao real; Dolphin SE pode exigir validacao de versao/modelo","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"JGzj254Kgs4","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","mercado_produto","opiniao","mercado_produto > compra_venda > carro_popular","opiniao","decidir_compra","","","","","","","","","0.78","Titulo promete carro popular zero km completo e pergunta decisao de compra; sem descricao, o modelo nao deve ser inferido.","zero_km; faixa_preco_salarios; proposta_de_valor","marca/modelo ausentes na entrada por descricao; pode virar review_teste com evidencia 90s","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"6qSnrkGd70I","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","manutencao_reparo","manutencao_preventiva","manutencao_reparo > manutencao_preventiva > arrefecimento","tutorial","aprender_manutencao","","","","","","arrefecimento","radiador","","0.91","Titulo indica procedimento para melhorar e limpar a agua do radiador, caso claro de manutencao preventiva de arrefecimento.","fluido_arrefecimento; limpa_radiador","descricao real ausente; problema nao deve ser inferido como superaquecimento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"aXbFPJMVGKw","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","review_teste","review","review_teste > review_veiculo","review","decidir_compra","Changan","Uni-T","exact_year","2026","","","","","0.89","Titulo explicita avaliacao do Changan Uni-T 2026; provocacao contra concorrentes nao basta para classificar como comparativo.","avaliacao_lancamento; comparacao_editorial_indireta","sem descricao real para validar sistemas e componentes citados no video","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"RTZHxSE2t5M","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","pos_venda_reparacao","analise_mercado","pos_venda_reparacao > gargalo_oficinas","opiniao","entender_mercado","","","","","","","","","0.80","Titulo fala de mecanicos em panico, carros descartaveis e impacto no mercado, sugerindo risco de reparacao/oficinas.","carros_descartaveis; qualidade_durabilidade; gargalo_reparacao","sem descricao real; entidades e powertrain ainda nao evidenciados","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"UtWYJfldWHA","gpt55_v2_entrega_1_descricao","titulo_metadados","ausente","mercado_produto","lancamento","mercado_produto > lancamentos","noticia","acompanhar_lancamento","Caoa Changan","Uni-T","","","","powertrain","","","0.88","Titulo informa estreia nacional do Caoa Changan Uni-T, preco e motorizacao flex; dominio principal e lancamento.","preco_lancamento; motor_flex; tropicalizacao","content_type pode virar review com evidencia dos 90s; flex fica como powertrain, nao nicho principal","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
