"post_id","video_url","transcription_status","input_duration_seconds","transcribed_duration_seconds","transcript_90s","language","whisper_model","compute_type","source_method","error_message","created_at"
"nKEuKTAX-eA","https://www.youtube.com/watch?v=nKEuKTAX-eA","success","38","38","Desculpa de onde é que vem os barulhos aí do seu carro. Pivô de suspensão, bieleta, bandeja da suspensão, terminal axial. E se quiser ter mais dicas de como identificar problemas de uma maneira fácil aí no seu carro, siga pra mais.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:31:02+00:00"
"ITBdyKnV5Pg","https://www.youtube.com/watch?v=ITBdyKnV5Pg","success","117","90","Quanto vai custar uma manutenção pesada no Honda HRV 2020, será que esse carro é muito caro de manter ou será que é barato? Desse jeito que vocês estão vendo é o estado que ele entrou na oficina e desse jeito que ele vai sair. Primeiro passo dessa manutenção pesada é começar a fazer a avaliação da parte de suspensão. Será que tem muita coisa pra fazer? Quase nada, só as duas buchas de balanças traseiras que é problema crônico desse carro. E eu fiquei surpreso quando a suspensão desse carro tem apenas esse detalhe pra fazer. Além disso, vai fazer também a retifica dos dois discos dianteiros. Agora pega essa dica, essa daí é as buchas de balanças que veio nesse carro, porém essas são as novas buchas de balança que você vai colocar no seu HRV quando der problema que tem muito mais durabilidade. Próximo passo agora é finalizar a parte da montagem da suspensão e em seguida trocar o óleo de motor e todos os filtros desse carro. Depois disso foi trocado também as quatro velas por desgaste. Próximo passo agora é a troca do óleo da caixa automática CVT. Próximo passo é retirada do excesso desse óleo do câmbio CVT com motor ligado e através dessa máquina. Em seguida é retirada do cárter e tem que trocar os dois filtros, o filtro do cárter e o filtro que vai na frente do trocador de calor. Mas será que é necessário trocar o óleo do câmbio automático? Dá uma olhada nesses dois ímãs que tem no cárter que é feito pra parar detrito pra não prejudicar o restante da caixa. Olha a quantidade de limália que já tem nesse câmbio com 75 mil quilômetros rodados e esse é um teste com um aparelho que mede a viscosidade, porcentagem com um bom ou ruim o óleo está, o óleo velho 40% e no óleo novo 100%. Com o cárter limpíssimo agora é hora da montagem com os filtros novos. Em seguida entrar com o óleo novo lá na máquina e ligar o motor do carro.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:31:45+00:00"
"aXbFPJMVGKw","https://www.youtube.com/watch?v=aXbFPJMVGKw","success","1731","90","E é seu, novo Shanganinete, o carro que é o melhor custo disparado entre os SUVs médios, preço de renegade, um espanco em qualquer outro carro da categoria, porém eu não compraria. E aqui a gente tem o motor 1.5 Turbo, que faz esse carro ser um foguete, um belo acabamento, um belo sistema de autopilotagem, com preço de nivus, isso sem contar no design e nas rodonas aqui, também Aruvinte, hein? No vídeo de hoje a gente vai ver tudo sobre esse carro aqui, vamos falar de todo esse design, vamos falar da motorização, do câmbio, do espaço interno, do belíssimo acabamento, e é claro que a gente vai levar, dar um rolê e ver qual é que é. E claro que não tem lugar, o melhor para começar a falar do Shanganinete, Lucas, é o Niter, eu sei mas o Niter fica mais fácil falar, né? Luka, aqui a parte da frente é bem que eu sinto pelas pessoas mais legais do mundo, como a fronteira, é uma belíssima fronteira, verdade seja dita, é um carro bem arigudo, como este, que vos fala, é realmente bem bonito, todo conjunto LED aqui, também esse formato aqui, também é um carro bonito para caramba, eu gosto de carro azul, eu sou completamente derrotado quando eu vejo um carro azul, mas vamos falar do que interessa, que é a motorização. E abrindo aqui, então, tiaos excesso.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:32:57+00:00"
"nP0q6x1Uqs0","https://www.youtube.com/watch?v=nP0q6x1Uqs0","success","179","90","A culpa do Brasil estar enchendo de carro elétrico é desse aqui, o BYD Dolphin, que agora mudou e custa R$159.000. Em 2023, carro elétrico era artigo de luxo e mesmo as marcas tradicionais não tinham competitividade no mercado e por R$149.000 no modelo anterior apareceu um tal de Dolphin. E aí que surgiu algo chamado de efeito Dolphin, um carro elétrico que custava um pouco mais que o Volkswagen Nivus, mas que era mais cumprido, mais rápido e o principal, com R$40 você rodava R$300.000. Quase um ano depois surgiu o Dolphin Mini, que é hoje o mais endido do Brasil, mas que usa o nome Dolphin e não siga o como usa lá fora, justamente porque o sucesso era tanto, que a BYD não quis nem trocar o nome. Três anos depois, e é hora de mudar o carro que mudou o mercado de carros elétricos do Brasil, ele ficou assim. Só que tinha uma coisa que dava discussão no meio dessa história, o tamanho do carro. Vocês podem ver que ele é tão cumprido quanto muito é Silve do mercado brasileiro, porque tinha que caber a bateria, e consequentemente o carro era cumprido a ponto de ter se tornado o queridinho do transporte no Brasil. Acabamento ajudou demais, porque era um padrão que a gente não tinha no segmento, hoje muitas marcas já melhoraram, bem como a gente não tinha tanta tela e fazer sucesso que ela virava, mas ela não vira mais. E você que estava comigo na época do efeito Dolphin vai lembrar que a tela era pequena, aumentou, todo mundo queria e agora tem GPS. Para você ir para frente para trás era um comando aqui no centro que agora veio para coluna, o que eu não sei se é melhor, mas mudou. Um time que está ganhando não se mexe, então o que eles fizeram foi manter as saídas de ar no estilo da linha Ocean, que dava que falar porque o carro todo tem inspirações em golfinho, como o próprio nome, e eles...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:33:36+00:00"
"xKNbBoiDt5g","https://www.youtube.com/watch?v=xKNbBoiDt5g","success","2495","90","Guri-zada, esse aqui é um dos motor casas mais absurdos que eu já vi na minha vida. Primeiro que quando eu olhei o cavalinho, eu nunca tinha visto um caminhão que o cavalinho já era inendado junto com o restante, né? Aí eu perguntei para o dono, eu falei, mas que que é para levar cavalo e tudo mais, que vocês não imaginam o que vocês estão prestes a ver? É uma das casas mais impressionantes que a gente já trouxe, que a gente vai trazer aqui no canal. Então aqui temos um Volvo transformado em motorhome do Marcos. E aí, Marcos? Bom, bom, até receber aqui. Ó, a gente está aqui em Luiz Eduardo Magalhães, no Bahia Farmishow, Cedcos Dade, Marcos. Montenegro, Rio Grande do Sul. Quantos quilômetros daqui? Ah, dá uns 3 mil quilômetros daqui de casa. Então, o motorhome é motorcasse, tem alguma diferença? Não, é da minha família, né? Ele está sendo muito bem utilizado, então. Ah, é bom usado. 3 mil km até aqui? É muito bom uso, né? Estou aqui com Giovanni, meu amigo, que no ano passado, quando eu tive aqui em Lê, a gente gravou a F1000 dele. É? Olha aí, ó. Foi exatamente aqui? Exatamente. Mas na época... Não tinha as faltas. Não tinha as faltas ainda, né? E o Giovanni, já acho que tem uns 15 dias, já que nós se conhecemos, né? Eu já estou aqui, já uns 15 dias na cidade.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:34:53+00:00"
"RTZHxSE2t5M","https://www.youtube.com/watch?v=RTZHxSE2t5M","success","1392","90","Mecânicos desesperados em pânico porque estão despejando carros alucinadamente aqui no nosso país, importados chineses, eletrificados e híbridos. Afinal, existe realmente um motivo para se alar de esse pânico, porque muito carro sem peça vai encalhar nas oficinas? Será que realmente vai acontecer um grande gargalo no setor de reparação automotiva? Bora para o vídeo que eu vou responder essa questão polêmica. Fala aí tudo beleza, meu nome é Vinícius e se sejam bem-vindos para mais um vídeo aqui no canal. Pessoal, aqui no canal eu tenho abordado assuntos do momento, que são carros chineses que estão vendendo muito bem, estão ultrapassando vendas de montadoras aqui no país que fabricam o carro aqui, sendo que muitos desses carros ainda estão naquele período de tentar nacionalizar isso aqui no país de forma muito assim básica, tipo SKD e CKD. Muita gente fala disso também, o que que é SKD? O que que é CKD? Pessoal, SKD, o carro vem semidez montado da China e aqui é finalizada a montagem, não faz pintura, não solta nem nada. Já o CKD vem totalmente desmontado da China e aqui sim é soldado e pintado, porém sem o processo de estamparia, por exemplo, Yaris Cross da Toyota, ele é 100% feito aqui no caso, claro que tem peças que vêm de fora, obviamente, mas o nível de nacionalização","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:36:04+00:00"
"3AjI62lO8b8","https://www.youtube.com/watch?v=3AjI62lO8b8","success","952","90","GWM Havel H7, esse carro vai ser uma das grandes novidades da GWM para o Brasil ainda em 2026, para ser uma espécie de Mini H9 com 5 lugares, motorização híbrida plug-in e preço mais barato, abaixo de 300 mil reais, eu vou te contar tudo sobre ele agora. E se você está chegando agora no canal da AutoSport, já aproveita, se inscreve, clica no sininho para receber as notificações, deixa aquele joinha no vídeo e deixa um comentário que isso ajuda a gente demais a continuar trazendo conteúdos como este aqui, é tudo da China em primeiríssima mão para você. Bom, o H7 vai ser uma espécie de resposta da GWM ao sucesso que o H9 está fazendo no mercado brasileiro. Acho que a GWM não esperava mas descobri um nicho de mercado desses jeeps com pegada mais off-road, esses SUVs de luxo, quadradões e parece que ela gostou da coisa e já prometeu para a sua rede de concessionárias que vai dar este carro no Brasil ainda em 2026. Não está confirmado, mas AutoSport pode falar que o lançamento vai acontecer. O que acontece com este carro? Ele vai ser lançado no Brasil em uma configuração de 5 lugares, ele tem uma configuração de 7 lugares na China que é quase do mesmo tamanho do H9. Para o Brasil ele vai ter 5 lugares entre eixos um pouco menor para ficar posicionado realmente abaixo do H9 no mercado em termos de preço, de posicionamento de mercado e","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:37:15+00:00"
"6qSnrkGd70I","https://www.youtube.com/watch?v=6qSnrkGd70I","success","851","90","ó ainda tá passando água aqui ó é sem os amigos e hoje aqui vamos trocar o fluido de arrefecimento é meus amigos chegou o grande dia a gente fazer aquela limpeza top vamos colocar aqui um filtrinho olha que legal esse filtrinho aqui de vidro e eu já iniciei né o processo ontem a noite porque pra você fazer um serviço bacana demora tá demora fazer as lavagens colocar o limpa radiador isso tudo demora então retiramos aqui o aditivo velho que estava aqui na verdade era um mais um corante um aditivo velho fizemos a lavagem sem utilizar ainda o limpa radiador e não saiu sujeira até o sistema aparentemente está bom tá depois de depois que a gente fez duas lavagens sem utilizar o limpa radiador colocamos o limpa radiador deixamos o carro esquentar de novo chegar na temperatura ideal para fazer a drenagem fiz três drenagens tá depois do limpa radiador para a gente poder eliminar né toda a espuma e tal e conseguimos obter um resultado bacana e o nosso sistema está apenas com água água de torneira para fazer a lavagem tem que ser com água de torneira e vamos retirar essa água de torneira colocar cinco litros de água","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:41:01+00:00"
"Ffmnzmm4Sf8","https://www.youtube.com/watch?v=Ffmnzmm4Sf8","success","489","90","Fala galera! Beleza, Lucélio aqui do canal da mecânica, trazendo pra vocês quatro linhas, quatro marcas que eu tenho certeza que vai fazer a diferença na hora que você for comprar, porque o preço vai ser bem abaixo das linhas mais tradicionais, de marcas mais famosas, sem abrir mão de qualidade, sem abrir mão de resistência, são pneus que aguentam, impactam, são pneus que suportam as ruas que a gente tem, sem abrir mão de conforto, sem abrir mão de durabilidade. Pelo que eu estou falando, parece que são pneus perfeitos, não, estou dizendo que pelo preço que você vai pagar, entrega tudo aquilo que você precisa pra rodar com um carro bem confortável, com boa aderência, boa eficiência, sem ter que deixar um rim na hora que você for comprar esse pneus. Estou retomando aqui o jeito antigo que eu fazia vídeos aqui pra vocês, falando sobre pneus, passei alguns vídeos aí falando sobre mecânicas, sobre camionete, sobre custo de manutenção, com a outra bordagem, era algo que muitas pessoas pediam. Então, voltando pra aquela bordagem falando de pneus, que foi o que fez a gente estar onde está hoje. E o motivo desse vídeo principal é sobre responder várias perguntas que eu recebo sobre melhores custo-benefício de pneu aero 15, aero 14, aero 16, até aero 13, por mais que a demanda do aero 13 está um pouco mais baixa, recente e mete, mas a gente tem essa vasta linha de aero 13, 14, 15, 16 e 17. Então a minha intuita é esse, passar pra vocês o melhor pneu, melhor produto com o melhor preço. Lembrando sempre que eu deixo na descrição links dos pneus,","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:38:02+00:00"
"uZVDGJXqrgU","https://www.youtube.com/watch?v=uZVDGJXqrgU","success","436","90","Nós temos amigos hoje aqui, nós vamos instalar o Retani Buffer no conjunto aqui, de molas traseiras aqui do nosso creta, já instalamos lá no eixo dianteiro, é o mesmo procedimento que nós vamos fazer aqui, é a mesma coisa e ficou perfeito. Então aqui no nosso creta vamos instalar nas quatro molas, já está instalado lá na parte da frente, agora vamos instalar aqui, nas molas traseiras, doblas, posso utilizar só nas molas traseiras, pode, posso utilizar só nas molas dianteiras, pode, no nosso golfão e na BMW instalamos somente na dianteira, e isso ficou muito bom, aonde você sente aquela trepidação, aquela batida mais seca, ajuda demais, esse é o objetivo do Retani Buffer, quando você vai passar numa trepidação, um buraco, ou você passa um pouco mais rápido, não quebra a mola e você tem aquele fim de curso da amortecedor com a mola, o Retani Buffer vai proteger o seu sistema e te dá conforto, então esse é o grande objetivo aqui do Retani Buffer, vou ter que fazer alinhamento depois que instalar, não, vou perder a estabilidade do carro, não, aqui vai te dar até mais firmeza nas curvas, se você tem um carro que tem um molejo, né, muito grande, isso daqui vai ajudar bastante, não vai deixar o seu carro","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T13:38:44+00:00"
