classification_result_id,context_order,topic_path,topic_path_secondary,automotive_system,component,problem,context_role,compatibility_status,validation_issue,needs_human_review,evidence_text,post_id
153,1,powertrain,,powertrain,bateria_tracao,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,374 km é a autonomia desse carro.,CjFrJg6VCjc
153,2,powertrain,,powertrain,regeneracao,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,Regeneração de bateria durante desaceleração; modo Eco ativado e regeneração de bateria alto.,CjFrJg6VCjc
158,1,manutencao_reparo__reparo_corretivo__reparo_motor,diagnostico__falha_motor,motor,motor_conjunto,falha_de_motor,primary,allowed_with_evidence,,False,"Desmontagem do motor, carbonização, borra, desgaste no cilindro, folga nas válvulas, cilindro que não está queimando direito.",z55GnDEg7_U
158,2,diagnostico__falha_motor,,motor,cilindro,falha_de_motor,secondary,allowed_with_evidence,,False,"Válvulas com folga, desgaste no cilindro, corrosão no bloco e cilindro não está queimando direito.",z55GnDEg7_U
158,3,diagnostico__luz_injecao,,motor,motor_conjunto,falha_de_motor,secondary,allowed_with_evidence,,False,Luz da injecção acesa; funcionamento irregular do motor.,z55GnDEg7_U
158,4,manutencao_reparo__reparo_corretivo__troca_motor,,motor,motor_conjunto,falha_de_motor,secondary,allowed_with_evidence,,False,Sugestão de avaliar se compensa reparar ou trocar o motor por um novo.,z55GnDEg7_U
162,1,diagnostico__direcao_puxando,,rodagem_direcao,alinhamento,direcao_puxando,primary,allowed_with_evidence,,False,"Pivot invertido durante instalação do pivô na linha Volkswagen, causando desalinhamento, instabilidade e retorno de direção comprometido.",9jdCcUr6KDI
163,1,powertrain__combustao__turbo,,motor,turbo,,primary,allowed_with_evidence,,False,transcript descreve motor 1.6 turbo do GR Corolla; menção direta ao turbo,KwZFtY1w8FY
163,2,powertrain__transmissao__cambio_manual,,transmissao,cambio_manual,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"""duas portas e câmbio manual""; opção automática também mencionada",KwZFtY1w8FY
164,1,mercado_produto__lancamentos,powertrain__eletrico,powertrain,bateria_tracao,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Análise de lançamento do GWM Ora 5 elétrico, SUV elétrico; foco no powertrain elétrico e posicionamento de preço.",ZspY7eFGJXo
165,1,diagnostico__scanner_obd2,mercado_produto,eletrica_eletronica,scanner_obd2,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Ele é um scanner... ele já pega ABS, já pega airbag, já faz adaptação de corpo de borboleta, já faz adaptação de combustível, já mexe em ângulo de direção. O seu carro tem direção elétrica.",R3y-lSe0K4s
166,1,off_road,powertrain__hibrido__sistema_hibrido,drivetrain,tracao_4x4,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Transcrição descreve Rav4 híbrido com 4x4 em trilha/off-road, demonstrando capacidade off-road.",VzRl2S0RkPc
