post_id,source_lot,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
pINW53ErjQI,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,fora_escopo,alerta,fora_escopo > transito_comportamento,,alerta,evitar_prejuizo,,,,,,,,,0.94,"Transcript trata de comportamento no transito, provocacao, policia e consequencias administrativas; carro ferveu e trambulador quebrado sao mencoes incidentais.","","Nao preencher sistema/componente/problema tecnico em fora_escopo.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
_j1gOOnjgcU,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo > manutencao_preventiva > limpeza_componentes,,tutorial,aprender_manutencao,,,,,,eletrica_eletronica; motor,"bateria_12v; sensor_oxigenio; sensor_maf; vela",consumo_alto,0.88,"Transcript lista quatro manutencoes simples: polos da bateria, sonda lambda, sensor MAF e velas, todas com promessa preventiva e economia de combustivel.","multi_componentes","Campo component precisa aceitar multiplos componentes com sistemas diferentes.",true,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
z55GnDEg7_U,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,reparo_corretivo,manutencao_reparo > reparo_corretivo > troca_motor,manutencao_reparo > custo_reparo > orcamento_manutencao,case,evitar_prejuizo,Renault,Kwid,exact_year,2021,,motor,motor_conjunto,"falha_de_motor; desgaste; oleo_vencido",0.91,"Transcript mostra diagnostico correto de motor ruim, desmontagem, carbonizacao, borra, desgaste, folga axial e decisao entre retifica e troca do motor.","retifica_motor como secundario possivel","Ha diagnostico e custo dentro do caso, mas rota principal continua reparo/troca de motor.",true,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
CjFrJg6VCjc,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,review_teste,teste,review_teste > teste_autonomia,powertrain > eletrico > autonomia,review,entender_powertrain,BYD,Dolphin Mini,exact_year,2026,,powertrain,bateria_tracao,,0.95,"Transcript acompanha teste de autonomia do BYD Dolphin Mini com carga, km rodados, modo eco e regeneracao.","","Nao usar problem autonomia_baixa porque e teste, nao falha comprovada.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
nP0q6x1Uqs0,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,mercado_produto,analise_mercado,mercado_produto > mercado_eletrificados,powertrain > eletrico,review,entender_mercado,BYD,Dolphin,,,,powertrain,bateria_tracao,,0.9,"Transcript discute impacto do BYD Dolphin no mercado brasileiro de eletricos, preco, bateria, autonomia e mudanca de produto.","efeito_dolphin como retorica editorial","Efeito_dolphin nao vira codigo canonico; fica como evidencia narrativa.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
JGzj254Kgs4,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,review_teste,review,review_teste > review_veiculo,mercado_produto > compra_venda > carro_popular,review,decidir_compra,Changan,Lumin,,,,powertrain,motor_eletrico,,0.86,"Transcript apresenta Changan Lumin como carro urbano 100% eletrico, barato, zero km e compara preco com carros populares.","","Tema secundario de compra/popular ficou mais claro com os 90s.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
6qSnrkGd70I,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo > manutencao_preventiva > arrefecimento,,tutorial,aprender_manutencao,,,,,,arrefecimento,"fluido_arrefecimento; aditivo_arrefecimento; limpa_radiador; filtro_arrefecimento","sistema_sujo; fluido_vencido",0.95,"Transcript mostra troca de fluido de arrefecimento, lavagens, limpa radiador, aditivo velho, filtro e drenagem.","","Nao inferir superaquecimento porque o video mostra manutencao/limpeza, nao falha termica.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
aXbFPJMVGKw,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,review_teste,review,review_teste > review_veiculo,mercado_produto > preco_posicionamento > custo_beneficio,review,decidir_compra,Changan,Uni-T,exact_year,2026,,powertrain,"motor_15_turbo_flex; cambio_dupla_embreagem",,0.87,"Transcript apresenta avaliacao do Changan Uni-T com preco competitivo, SUV medio, motorizacao, cambio, acabamento e teste ao volante.","autopilotagem","Motor e cambio entram como contexto de powertrain, nao como topicos soltos.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
RTZHxSE2t5M,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,pos_venda_reparacao,analise_mercado,pos_venda_reparacao > gargalo_oficinas,pos_venda_reparacao > pecas_reposicao,opiniao,entender_mercado,,,,,,,"","",0.94,"Transcript discute gargalo de reparacao para carros chineses, eletrificados e hibridos, disponibilidade de pecas, oficinas, SKD/CKD e nacionalizacao.","carros_chineses como recorte de mercado","Nao preencher sistema tecnico porque o foco e setorial, nao um veiculo especifico.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
UtWYJfldWHA,piloto_38,gpt55_v2_enriquecida_90s,transcript_90s,mercado_produto,lancamento,mercado_produto > lancamentos,review_teste > review_veiculo,noticia,acompanhar_lancamento,Caoa Changan,Uni-T,,,,powertrain,motor_flex,,0.9,"Transcript apresenta estreia da Caoa Changan no Brasil, estrategia de longo prazo, carro nacional com motor flex e tropicalizacao.","","Powertrain flex fica como contexto tecnico de lancamento.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
