"evaluation_stage","source_sheet","post_id","niche","sub_niche","sub_sub_niche","content_type","audience_intent","vehicle_brand","vehicle_model","vehicle_year_or_generation","automotive_system","component","problem","observacoes","classificacao_finalizada"
"entrega_1_descricao","execucao_humana_title","pINW53ErjQI","","","","","","","","","","","","","nao"
"entrega_1_descricao","execucao_humana_title","_j1gOOnjgcU","manutencao","","","","","","","","","","","","nao"
"entrega_1_descricao","execucao_humana_title","z55GnDEg7_U","manutencao","manutencao_motor","fazer_motor","comparativo","evitar_prejuizo","Renault","Kwid","","motor","","falha_de_motor","Em content eu coloquei compartivo mas devemos incluir algo como orcamento para termos quanto custa, eh caro. Para a lista de componentes, Retifica.","sim"
"entrega_1_descricao","execucao_humana_title","CjFrJg6VCjc","Teste","comparativo","","review","decidir_compra","BYD","Dolphin Mini","","","","","Precisamos colocar mais itens para sequencia de teste, aumento de durabilidade, melhoria de performance. Temos que incluir palavras relacionadas a hibridos e eletricos: bateria_powertrain, capacidade bateria.","nao"
"entrega_1_descricao","execucao_humana_title","nP0q6x1Uqs0","compra_venda","eletrico","","opiniao","comparar_opcoes","BYD","Dolphin SE","","","","","",""
"entrega_1_descricao","execucao_humana_title","JGzj254Kgs4","compra_venda","carro_popular","","opiniao","decidir_compra","","","","","","","",""
"entrega_1_descricao","execucao_humana_title","6qSnrkGd70I","manutencao","arrefecimento","","educativo","aprender_manutencao","","","","arrefecimento","radiador","superaquecimento","","sim"
"entrega_1_descricao","execucao_humana_title","aXbFPJMVGKw","mercado","","","","","Volkswagen","","","","","","","nao"
"entrega_1_descricao","execucao_humana_title","RTZHxSE2t5M","mercado","","","","","","","","","","","","nao"
"entrega_1_descricao","execucao_humana_title","UtWYJfldWHA","compra_venda","test_drive","","review","acompanhar_lancamento","Caoa Changan","Uni-T","","","","","","nao"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","pINW53ErjQI","","","","","","","","","","","","Nao e um video automotivo; fala de golpe.","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","_j1gOOnjgcU","manutencao","bateria_12v","falha_sensor","educativo","aprender_manutencao","","","","eletrica_eletronica","bateria_12v","consumo_alto","Tem mais de um item de subnicho e componentes.","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","z55GnDEg7_U","manutencao","manutencao_motor","fazer_motor","comparativo","evitar_prejuizo","Renault","Kwid","exact_year 2021","motor","motor","falha_de_motor","Em content eu coloquei compartivo mas devemos incluir algo como orcamento para termos quanto custa, eh caro. Para a lista de componentes, Retifica.","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","CjFrJg6VCjc","Teste","comparativo","","review","decidir_compra","BYD","Dolphin Mini","","","","","Precisamos colocar mais itens para sequencia de teste, aumento de durabilidade, melhoria de performance. Temos que incluir palavras relacionadas a hibridos e eletricos: bateria_powertrain, capacidade bateria.","nao"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","nP0q6x1Uqs0","compra_venda","eletreficado","eletrico","opiniao","comparar_opcoes","BYD","Dolphin SE","exact_year 2026","","","","","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","JGzj254Kgs4","review","eletreficado","eletrico","opiniao","decidir_compra","Changan","Lumin","exact_year 2026","","","","","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","6qSnrkGd70I","manutencao","arrefecimento","","educativo","aprender_manutencao","","","","arrefecimento","radiador","superaquecimento","","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","aXbFPJMVGKw","review","comparativo","","review","decidir_compra","Changan","Uni-T","","","","","","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","RTZHxSE2t5M","mercado","comparativo","","comparativo","entender_mercado","","","","","","","","sim"
"entrega_2_90s_iniciais","execucao_humana_transcricao_90s","UtWYJfldWHA","review","lancamentos","","review","acompanhar_lancamento","Caoa Changan","Uni-T","","","","","","sim"
