post_id,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
"KwZFtY1w8FY","titulo_metadados","titulo_metadados","review_teste","review","review_teste > review_veiculo","powertrain > transmissao","review","decidir_compra","Toyota","GR Yaris","","","","transmissao","cambio_manual","","0.90","Titulo explicita avaliacao do GR Yaris manual, esportivo raiz e cambio manual.","esportivo_compacto; cambio_manual_review","Toyota e inferido por GR Yaris; validar entidade no catalogo.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"KwZFtY1w8FY","transcricao_90s","transcript_90s","review_teste","review","review_teste > review_veiculo","powertrain > transmissao","review","decidir_compra","Toyota","GR Yaris","","","","powertrain","motor_16_turbo; cambio_manual; cambio_automatico; tracao_integral","","0.96","Transcript confirma review do GR Yaris, motor 1.6 turbo, carro esportivo menor/divertido, tracao integral, cambio manual e opcao automatica.","esportivo_compacto; motor_16_turbo","Motor/cambio/tracao sao contexto tecnico de review, nao manutencao.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"0YeiiIpSrP0","titulo_metadados","titulo_metadados","review_teste","review","review_teste > review_veiculo","powertrain > hibrido","review","entender_powertrain","Jeep","Commander","","","","powertrain","sistema_hibrido","","0.92","Titulo indica novo Jeep Commander hibrido, explica MHEV, consumo, preco e problemas.","mhev; hibrido_leve","MHEV/hibrido leve ainda nao esta como termo canonico.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"0YeiiIpSrP0","transcricao_90s","transcript_90s","review_teste","review","review_teste > review_veiculo","powertrain > hibrido","review","entender_powertrain","Jeep","Commander","model_line","2027","Overland MHEV","powertrain","sistema_hibrido; consumo; desempenho","","0.97","Transcript confirma Jeep Commander 2027 hibrida Overland MHEV, com explicacao do sistema, mudancas de 2027, consumo, desempenho e decisao de compra.","mhev; hibrido_leve; linha_modelo","Ano aparece como linha/model year; validar antes de tratar como ano canonico.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"KONPXAjlkn8","titulo_metadados","titulo_metadados","review_teste","comparacao","review_teste > comparativo","mercado_produto > mercado_chineses","opiniao","comparar_opcoes","Volkswagen","T-Cross","","","","","","","0.84","Titulo pergunta se T-Cross e melhor que carro chines e traz opiniao do mecanico.","opinia_do_mecanico; mercado_chineses_comparativo","Sem descricao real; comparativo pode ser mais opiniao de mercado que teste.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"KONPXAjlkn8","transcricao_90s","transcript_90s","mercado_produto","analise_mercado","mercado_produto > mercado_chineses","review_teste > comparativo","opiniao","comparar_opcoes","Volkswagen","T-Cross","","","","","","","0.89","Transcript abre com SUVs dominando o mercado, T-Cross liderando categoria, preco de entrada e topo, e pergunta se a marca Volkswagen explica vendas frente aos chineses.","opinia_do_mecanico; suv_categoria","90s ainda nao traz avaliacao tecnica concreta; foco ficou mercado/percepcao.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"cwQIxaJDJAE","titulo_metadados","titulo_metadados","fora_escopo","entretenimento","fora_escopo > entretenimento_sem_tema_tecnico","","entretenimento","entretenimento","","","","","","","","","0.78","Titulo fala de motos classicas em centro cultural, quadro Garagem Moto.","motos; duas_rodas; cultura_automotiva","Taxonomia atual e orientada a carros/videos automotivos; motos ficam lacuna.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"cwQIxaJDJAE","transcricao_90s","transcript_90s","fora_escopo","entretenimento","fora_escopo > entretenimento_sem_tema_tecnico","","entretenimento","entretenimento","","","","","","","","","0.86","Transcript confirma quadro Garagem Moto, centro cultural movimento em Socorro e cultura sobre duas rodas.","motos; duas_rodas; colecao_classica; cultura_automotiva","Nao preencher sistema/componente de carro; decidir futuramente se motos entram no escopo.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"cLH17x4LiCA","titulo_metadados","titulo_metadados","review_teste","review","review_teste > review_veiculo","mercado_produto > lancamentos","review","decidir_compra","Toyota","Yaris Cross","exact_year","2026","XR","","","","0.95","Titulo explicita novo Toyota Yaris Cross XR de entrada 2026 e pontos positivos/negativos.","versao_entrada; pontos_positivos_negativos","Sem descricao real, mas titulo e fortissimo.","false","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"cLH17x4LiCA","transcricao_90s","transcript_90s","review_teste","review","review_teste > review_veiculo","mercado_produto > lancamentos","review","decidir_compra","Toyota","Yaris Cross","exact_year","2026","XR","","","","0.97","Transcript confirma apresentacao/review da versao mais basica Yaris Cross XR, detalhes, showroom, preco e pontos positivos/negativos.","versao_entrada; carro_assinatura","Carro por assinatura aparece como contexto comercial futuro, nao topic_path.","false","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
