"post_id","evaluation_stage","input_evidence_level","input_description_status","niche","sub_niche","sub_sub_niche","content_type","audience_intent","vehicle_brand","vehicle_model","vehicle_year_or_generation","automotive_system","component","problem","confidence_score","evidence_summary","taxonomy_gaps","validation_issues","needs_human_review","model_used","round_id"
"pINW53ErjQI","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","","","","","","","","","","","","0.93","Transcript mostra narrativa de golpe/conflito de transito; apesar de citar carro, documento atrasado, arrefecimento e cambio como detalhe final, o tema principal nao e conteudo automotivo classificavel.","fora_escopo_automotivo; narrativa_transito; golpe_transito","taxonomia v1 nao possui categoria para fora de escopo; nao classificar componentes incidentais como tema","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"_j1gOOnjgcU","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao","bateria_12v, sensores_modulos, manutencao_motor","","tutorial","aprender_manutencao","","","","eletrica_eletronica","bateria_12v, sensor_oxigenio, vela","consumo_alto","0.84","Transcript lista quatro manutencoes simples: limpeza dos polos da bateria, sonda lambda, sensor MAF e velas, com promessa de economia e durabilidade do motor.","multi_sub_niche; sensor_maf; limpeza_velas; limpeza_sonda_lambda","sub_niche multiplo mistura bateria, sensores e motor; component possui itens de eletrica mas problema consumo_alto pertence a combustivel","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"z55GnDEg7_U","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao","manutencao_motor","problema_cronico","case","evitar_prejuizo","Renault","Kwid","exact_year:2021","motor","","falha_de_motor","0.92","Transcript acompanha manutencao corretiva de motor em Renault Kwid 2021, com luz de injecao, funcionamento irregular, carbonizacao, desgaste e decisao entre retifica ou troca do motor.","orcamento_reparo; retifica_motor; troca_motor; motor_conjunto; manutencao_corretiva","exact_year mistura codigo e valor; motor nao deve entrar como componente solto; diagnostico aparece como evidencia dentro de manutencao","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"CjFrJg6VCjc","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","powertrain","eletrico","","review","entender_powertrain","BYD","Dolphin Mini","exact_year:2026","powertrain","","","0.91","Transcript e um teste de autonomia do BYD Dolphin Mini 2026 com bateria a 100%, consumo de carga, modo eco e regeneracao.","teste_autonomia; bateria_tracao; consumo_energia; regeneracao","content_type review nao diferencia teste empirico de autonomia; falta componente bateria de tracao","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"nP0q6x1Uqs0","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","mercado","lancamentos","","opiniao","acompanhar_lancamento","BYD","Dolphin","","powertrain","","","0.88","Transcript analisa o efeito Dolphin no mercado brasileiro de eletricos, preco, mudanca do modelo, bateria, autonomia e garantia.","mercado_eletrificados; efeito_dolphin; preco_veiculo; bateria_tracao; garantia_bateria","tema principal cruza mercado e powertrain; model menciona Dolphin e Dolphin Mini, exigindo relacao com versao/modelo","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"JGzj254Kgs4","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","review","test_drive","","opiniao","decidir_compra","Changan","Lumin","","powertrain","","","0.86","Transcript apresenta o Changan Lumin como carro urbano 100% eletrico, zero km, barato, com foco em proposta de uso e decisao de compra.","carro_urbano_eletrico; preco_baixo; proposta_de_uso; microcarro","review e compra_venda competem como tema principal; eletrico e atributo de powertrain relevante mas nao e subniche do review","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"6qSnrkGd70I","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao","arrefecimento","","tutorial","aprender_manutencao","","","","arrefecimento","","","0.94","Transcript mostra procedimento de troca do fluido de arrefecimento, limpeza com limpa radiador, drenagens e uso de agua desmineralizada.","radiador_componente; fluido_arrefecimento; limpa_radiador; agua_desmineralizada","radiador e fluido de arrefecimento nao existem como componentes canonicos no doc 32; problem superaquecimento nao aparece como falha principal","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"aXbFPJMVGKw","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","review","test_drive","","review","decidir_compra","Changan","Uni-T","exact_year:2026","powertrain","cambio_automatico","","0.90","Transcript apresenta avaliacao do Changan Uni-T com preco, acabamento, autopilotagem, motorizacao 1.5 turbo flex e cambio automatizado de dupla embreagem.","suv_medio; motor_15_turbo_flex; cambio_dupla_embreagem; autopilotagem; preco_comparativo","sub_niche test_drive cobre pouco a avaliacao tecnica; component cambio_automatico e aproximacao para dupla embreagem; exact_year mistura codigo e valor","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"RTZHxSE2t5M","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","mercado","lancamentos","","opiniao","entender_mercado","","","","powertrain","","","0.87","Transcript discute chegada de carros chineses importados, eletrificados e hibridos, nacionalizacao SKD/CKD, gargalo de pecas e impacto em oficinas.","mercado_chineses; eletrificados; hibridos; pecas_reposicao; gargalo_reparacao; skd_ckd","sub_niche lancamentos e aproximacao; falta categoria para pos-venda/pecas/oficinas como impacto de mercado","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
"UtWYJfldWHA","gpt55_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","mercado","lancamentos","","review","acompanhar_lancamento","Caoa Changan","Uni-T","","powertrain","","","0.89","Transcript apresenta estreia da Caoa Changan no Brasil, estrategia de longo prazo, Uni-T nacional, motor a combustao flex e tropicalizacao.","marca_chinesa_estreia; nacionalizacao; tropicalizacao; motor_flex; review_lancamento","niche mercado e content_type review competem; powertrain flex e atributo importante mas nao deve deslocar lancamento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1_90s"
