"topic_path_code","label_pt","parent_code","level","automotive_domain","default_activity_type","description","example_signals","allowed_in_pilot","requires_technical_context","allows_secondary_topic"
"fora_escopo","Fora de escopo","","1","fora_escopo","nao_aplicavel","Conteudo que nao deve entrar na taxonomia automotiva principal.","tema principal nao automotivo; mencoes incidentais a carro","true","false","false"
"fora_escopo__nao_automotivo","Nao automotivo","fora_escopo","2","fora_escopo","nao_aplicavel","Video sem tema automotivo classificavel.","assunto principal fora de veiculos ou mercado automotivo","true","false","false"
"fora_escopo__transito_comportamento","Transito e comportamento","fora_escopo","2","fora_escopo","alerta","Narrativa de transito, comportamento, golpe ou conflito, sem conteudo tecnico automotivo principal.","golpe no transito; briga; direcao perigosa; carro citado incidentalmente","true","false","false"
"fora_escopo__entretenimento_sem_tema_tecnico","Entretenimento sem tema tecnico","fora_escopo","2","fora_escopo","entretenimento","Entretenimento com veiculo incidental e sem promessa automotiva tecnica, comercial ou de produto.","humor; narrativa; meme; carro como cenario","true","false","false"
"manutencao_reparo","Manutencao e reparo","","1","manutencao_reparo","manutencao_preventiva","Preservar, corrigir ou executar servico em veiculo.","troca; limpeza; reparo; manutencao; oficina","true","true","true"
"manutencao_reparo__manutencao_preventiva","Manutencao preventiva","manutencao_reparo","2","manutencao_reparo","manutencao_preventiva","Cuidados preventivos antes de falha grave.","evitar problema; cuidado periodico; limpeza; troca preventiva","true","true","true"
"manutencao_reparo__manutencao_preventiva__arrefecimento","Arrefecimento preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Procedimentos preventivos no sistema de arrefecimento.","agua do radiador; fluido; aditivo; limpa radiador; drenagem","true","true","false"
"manutencao_reparo__manutencao_preventiva__bateria_12v","Bateria 12v preventiva","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Cuidados preventivos com bateria 12v e terminais.","polo de bateria; limpa contato; zinabre; carga","true","true","false"
"manutencao_reparo__manutencao_preventiva__sensores","Sensores preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Limpeza ou cuidado preventivo de sensores.","sensor MAF; sonda lambda; leitura; limpa contato","true","true","false"
"manutencao_reparo__manutencao_preventiva__velas_ignicao","Velas de ignicao preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Limpeza, regulagem ou troca preventiva de velas.","vela; eletrodo; folga; economia de combustivel","true","true","false"
"manutencao_reparo__manutencao_preventiva__limpeza_componentes","Limpeza de componentes","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Conteudo preventivo com limpeza de multiplos componentes.","limpeza de bateria; sensor; vela; descarbonizante","true","true","false"
"manutencao_reparo__manutencao_preventiva__pneus","Pneus preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Cuidados preventivos com pneus.","calibragem; rodizio; desgaste; alinhamento","true","true","false"
"manutencao_reparo__manutencao_preventiva__freios","Freios preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Cuidados preventivos com freios.","pastilha; disco; fluido de freio; rangido","true","true","false"
"manutencao_reparo__manutencao_preventiva__suspensao","Suspensao preventivo","manutencao_reparo__manutencao_preventiva","3","manutencao_reparo","manutencao_preventiva","Cuidados preventivos com suspensao.","amortecedor; bucha; barulho; alinhamento","true","true","false"
"manutencao_reparo__reparo_corretivo","Reparo corretivo","manutencao_reparo","2","manutencao_reparo","reparo_corretivo","Correcao de falha ja instalada.","quebrou; falhou; desmontagem; troca de conjunto","true","true","true"
"manutencao_reparo__reparo_corretivo__reparo_motor","Reparo de motor","manutencao_reparo__reparo_corretivo","3","manutencao_reparo","reparo_corretivo","Reparo em motor sem necessariamente trocar o conjunto completo.","desmontar motor; folga; desgaste; cabecote; bloco","true","true","false"
"manutencao_reparo__reparo_corretivo__retifica_motor","Retifica de motor","manutencao_reparo__reparo_corretivo","3","manutencao_reparo","reparo_corretivo","Retifica ou recuperacao interna do motor.","retifica; usinagem; cilindro; valvula; bloco","true","true","false"
"manutencao_reparo__reparo_corretivo__troca_motor","Troca de motor","manutencao_reparo__reparo_corretivo","3","manutencao_reparo","reparo_corretivo","Troca do conjunto de motor por falha ou custo de reparo.","motor novo; trocar motor; motor ruim; nao compensa retificar","true","true","false"
"manutencao_reparo__reparo_corretivo__reparo_cambio","Reparo de transmissao","manutencao_reparo__reparo_corretivo","3","manutencao_reparo","reparo_corretivo","Reparo contextualizado em transmissao/cambio.","tranco; patinando; manutencao do cambio; reparo transmissao","true","true","false"
"manutencao_reparo__reparo_corretivo__troca_cambio","Troca de transmissao","manutencao_reparo__reparo_corretivo","3","manutencao_reparo","reparo_corretivo","Troca contextualizada de cambio/transmissao.","trocar cambio; cambio automatico; transmissao quebrada","true","true","false"
"manutencao_reparo__custo_reparo","Custo de reparo","manutencao_reparo","2","manutencao_reparo","orcamento","Custo, orcamento ou viabilidade economica de reparo.","quanto custa; orcamento; pecas; mao de obra","true","true","true"
"manutencao_reparo__custo_reparo__orcamento_manutencao","Orcamento de manutencao","manutencao_reparo__custo_reparo","3","manutencao_reparo","orcamento","Estimativa de custo para manutencao ou reparo.","valor final; quanto custa; oficina; orcamento","true","true","false"
"manutencao_reparo__custo_reparo__custo_pecas","Custo de pecas","manutencao_reparo__custo_reparo","3","manutencao_reparo","orcamento","Custo de componentes e pecas de reposicao.","preco peca; motor novo; kit; reposicao","true","true","false"
"manutencao_reparo__custo_reparo__custo_mao_obra","Custo de mao de obra","manutencao_reparo__custo_reparo","3","manutencao_reparo","orcamento","Custo de servico ou mao de obra.","mao de obra; oficina; servico; horas","true","true","false"
"diagnostico","Diagnostico","","1","diagnostico","diagnostico","Identificacao de causa, sintoma, codigo ou falha.","scanner; codigo; luz; falha; sintoma","true","true","true"
"diagnostico__scanner_obd2","Scanner OBD2","diagnostico","2","diagnostico","diagnostico","Diagnostico por scanner ou leitura OBD2.","scanner; OBD2; codigo de erro; leitura","true","true","false"
"diagnostico__luz_injecao","Luz da injecao","diagnostico","2","diagnostico","diagnostico","Diagnostico relacionado a luz de injecao ou alerta no painel.","luz da injecao; painel; falha injecao; codigo","true","true","false"
"diagnostico__falha_motor","Falha de motor","diagnostico","2","diagnostico","diagnostico","Diagnostico de falha no sistema de motor.","motor falhando; cilindro; perda potencia; funcionamento irregular","true","true","false"
"diagnostico__falha_cambio","Falha de transmissao","diagnostico","2","diagnostico","diagnostico","Diagnostico contextualizado de cambio/transmissao.","tranco; patinando; cambio automatico; transmissao","true","true","false"
"diagnostico__falha_eletrica","Falha eletrica","diagnostico","2","diagnostico","diagnostico","Diagnostico de falhas eletricas ou eletronicas.","curto; modulo; sensor; chicote; bateria 12v","true","true","false"
"diagnostico__consumo_alto","Consumo alto","diagnostico","2","diagnostico","diagnostico","Diagnostico de consumo elevado de combustivel ou energia.","bebendo muito; alto consumo; economia; sensor","true","true","false"
"diagnostico__problema_cronico","Problema cronico","diagnostico","2","diagnostico","diagnostico","Falha recorrente associada a modelo, componente ou sistema.","problema cronico; defeito comum; recorrente","true","true","true"
"diagnostico__diagnostico_sensor","Diagnostico de sensor","diagnostico","2","diagnostico","diagnostico","Identificacao de falha ou leitura incorreta de sensor.","sensor MAF; sonda lambda; leitura errada; modulo","true","true","false"
"review_teste","Review e teste","","1","review_teste","review","Avaliacao, teste ou comparacao de produto/veiculo.","review; test drive; avaliacao; teste","true","false","true"
"review_teste__review_veiculo","Review de veiculo","review_teste","2","review_teste","review","Avaliacao geral de veiculo.","avaliacao; acabamento; preco; motor; espaco interno","true","false","true"
"review_teste__test_drive","Test drive","review_teste","2","review_teste","teste","Teste de conducao e experiencia ao volante.","dirigindo; rodar; estrada; cidade; impressoes","true","false","true"
"review_teste__comparativo","Comparativo","review_teste","2","review_teste","comparacao","Comparacao real entre opcoes, modelos ou concorrentes.","versus; comparacao; melhor opcao; alternativas","true","false","true"
"review_teste__teste_autonomia","Teste de autonomia","review_teste","2","review_teste","teste","Teste empirico de autonomia ou alcance.","autonomia; bateria; consumo; km rodados; carga","true","true","true"
"review_teste__teste_consumo","Teste de consumo","review_teste","2","review_teste","teste","Teste de consumo de combustivel ou energia.","km/l; kWh; consumo; economia","true","true","true"
"review_teste__teste_desempenho","Teste de desempenho","review_teste","2","review_teste","teste","Teste de aceleracao, retomada ou desempenho.","0 a 100; retomada; turbo; performance","true","true","true"
"review_teste__teste_durabilidade","Teste de durabilidade","review_teste","2","review_teste","teste","Teste de resistencia, uso prolongado ou desgaste.","longa duracao; durabilidade; desgaste; prova","true","true","true"
"review_teste__avaliacao_tecnica","Avaliacao tecnica","review_teste","2","review_teste","review","Avaliacao com foco tecnico em sistema, plataforma ou componente.","engenharia; motor; cambio; suspensao; tecnologia","true","true","true"
"mercado_produto","Mercado e produto","","1","mercado_produto","analise_mercado","Lancamento, preco, compra, vendas, marcas ou leitura de mercado.","mercado; preco; lancamento; vendas; comprar","true","false","true"
