classification_result_id,entity_order,vehicle_brand_raw,vehicle_model_raw,vehicle_year,vehicle_generation,evidence_text,entity_status,catalog_row_id,catalog_model_id,catalog_match_level,canonical_manufacturer_name,canonical_model_name,canonical_model_year,match_confidence,match_source,validation_issue,post_id
153,1,BYD,Dolphin Mini,2026,,BYD Dolphin Mini,matched,1247,213,model_year,BYD,Dolphin Mini,2026,0.98,carrosnaweb_catalog,,CjFrJg6VCjc
158,1,Renault,Kwid,2021,,Renault Kwid 2021 com 124 mil quilômetros,matched,7257,1244,model_year,Renault,Kwid,2021,0.98,carrosnaweb_catalog,,z55GnDEg7_U
162,1,Volkswagen,,,,"Título do vídeo menciona a linha Volkswagen, evidenciando a marca.",not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,9jdCcUr6KDI
163,1,,Corolla,,,"Jaceu, o novo GR-Ares! Pega o mesmo motor 1.6 turbo do GR Corolla, porém num carro muito menor, com entre-eixos mais curto, e consegue ser mais divertido, principalmen",matched,,1340,model,Toyota,Corolla,,0.9,carrosnaweb_catalog_script:transcript_90s,,KwZFtY1w8FY
163,2,,Yaris,,,COM CAMBIO MANUAL! SIMPLESMENTE ANIMAL PENA QUE É CARO - Avaliação GR Yaris MANUAL,matched,,1361,model,Toyota,Yaris,,0.9,carrosnaweb_catalog_script:title,,KwZFtY1w8FY
164,1,GWM,Ora 5,,,R$ 159.000: GWM Ora 5 elétrico mira em SUVS A COMBUSTÃO e põe 'irmão' em risco,matched,,611,model,GWM,Ora 5,,0.9,carrosnaweb_catalog_script:title,,ZspY7eFGJXo
166,1,Toyota,RAV4,,,"Esse Rav4 tá um pouquinho empoerado, com as rodas um pouquinho sujas, mas é por um bom motivo. Descobri que esse ca",matched,,1356,model,Toyota,RAV4,,0.9,carrosnaweb_catalog_script:transcript_90s,,VzRl2S0RkPc
167,1,,Cruze,,,"cisa dar uma recetada e volta a funcionar. E na época que eu tive um cruze, o cruze a gente sabe que tem um problema crônico de câmbio, tá? Câmbio, né? O câmbio 6T30, né? Se você n",matched,,311,model,Chevrolet,Cruze,,0.9,carrosnaweb_catalog_script:transcript_90s,,BrKVhF-oG80
168,1,,Tocantins,,,"op aqui e mais outras camionetes muito top aqui. Eu tô em Palmas no Tocantins, vim pra Agrotins e encontrei uma turma muito, mas muito gente boa do Project Truck. E aí, Gurizada, v",matched,,627,model,Gurgel,Tocantins,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
168,2,,Hilux,,,"tos que capricho, Gurizada, e não são só esses dois não, tem mais uma Hilux Top aqui e mais outras camionetes muito top aqui. Eu tô em Palmas no Tocantins, vim pra Agrotins e encon",matched,,1350,model,Toyota,Hilux,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
