"post_id","video_url","transcription_status","input_duration_seconds","transcribed_duration_seconds","transcript_90s","language","whisper_model","compute_type","source_method","error_message","created_at"
"pINW53ErjQI","https://www.youtube.com/watch?v=pINW53ErjQI","success","86","86","Olha esse novo golpe aqui O cara queria a confusão, ele vem atrás e é agora que eu mostro pra vocês como dar o troco em um emocionado no trânsito Vamos ver se ele vai cair no peite, né? Na nossa armadilha de ficar coçando o quente do tipo Olha lá, ele tá dando fuga, eu sabia, eu estava certo com as leis de trânsito E olha a cagada que ele faz Chega cantando penão numa curva Outra curva em alta velocidade, nessa hora o meu sorriso já começa a crescer no rosto porque a minha surpresa é essa Ele não conhece o bairro pelo jeito Chegando todo emocionado e o que ele faz? Vem atrás de mim e eu estou levando ele pra delegacia da cidade Eu simplesmente estaciono o meu carro tranquilamente, desço do carro e aviso pra ele Que tá tudo gravado Conversamos com os policiais, cada um deu a sua versão, porém aqui é onde ele se deu mal O carro dele tava com documento atrasado, ele quis registrar boletim de ocorrência O carro foi recolhido e além disso o carro ferveu, vazou água e ainda quebrou o trambulador da marcha Eu fui embora, tranquilo, não fiz boletim","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:32:59+00:00"
"_j1gOOnjgcU","https://www.youtube.com/watch?v=_j1gOOnjgcU","success","73","73","Quatro manutenções simples que quase ninguém faz e vai salvar o seu motor. Começando com a limpeza dos polos da bateria. Com o auxílio de uma escova de ácido e limpa contatos, você remove inúmeras impurezas, principalmente os inábris, que impedem a corrente elétrica e dificultam o carregamento da bateria. Para proteger da umidade e formação de inábris, faça aplicação de uma graxa siliconada. Segundo, a limpeza da sonda lâmbida. Para isso, você pode utilizar um bonde descarbonizante, fazendo aplicação diretamente nos orificios e removendo toda a carbonização existente sobre ela. Isso facilitará a leitura e encherá seu carro muito mais econômico. Terceiro, limpeza do sensor MAF. Primeiramente, localize o sensor, que pode estar próximo ao filtro de ar ou no coletor de admissão. E para limpeza, utilize sempre o limpa contatos. Isso removerá todas as sujeiras que impedem uma boa leitura e causam assim um alto consumo. Aí, antes de instalar, sece bem esse sensor. Quarto, limpeza e regulagem das velas. Está aí algo que pouca gente faz mais essencial para a durabilidade e economia de combustível do motor. Onde você poderá utilizar a mesma escova de aço e também o descarbonizante. E ao final do processo, verificar a folga existente do eletrodo. Calibrando assim, se necessário. E para te ajudar a economizar mais, vou deixar aqui na legenda algumas dicas extras. Se tiver dúvidas, deixe aqui nos comentários que eu vou te ajudar. Se quiser ter mais dicas como essa, siga para mais.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:33:26+00:00"
"z55GnDEg7_U","https://www.youtube.com/watch?v=z55GnDEg7_U","success","152","90","Quanto custa a manutenção de motor no Renault Quid, será que o carro mais bato do Brasil também tem a manutenção barata? Será que é problema crônico ou será que foi falta de manutenção? Vem comigo que eu vou acompanhar todo o processo que vai ser feito nesse motor e o valor no final desse vídeo. Esse é um Renault Quid 2021 com 124 mil quilômetros rodados e o proprietário já vem sofrendo que esse carro com tempo. O exenjeção acesa funcionamente irregular, porém o problema é muito mais grave. Quando o diagnóstico correto identificou que o motor desse carro é que está ruim, então não adianta trocar todas as peças que envolve o motor se o motor não está bom. O pessoal começou com um processo de desmontagem e tirar esse motor do cofre ali, a embrenhagem desse carro também não está bom, e então iniciou o processo de desmontagem desse motor, já foi tirando ali a tampa de válvulas e olha só a situação que tem esse motor, bastante carbonização, sinal que não trocava o óleo ou colocava o óleo incorreto. Retirando a tampa lateral desse motor, que também é a bomba de óleo desse motor que a gente viu com o negócio está bem feio, olha a quantidade de borra que juntou desse motor com o decorrer de 124 mil quilômetros, pescador bastante sujo, não sei como é que a luz de óleo desse motor não estava acendendo. Provindo com a desmontagem do cabeçote, observou mais problemas nesse motor, válvulas com folga, desgaste no cilindro, corrosão no bloco e tinha um cilindro que não estava queimando direito. Será que vai dar pra aproveitar esse motor ou será que é um motor novo, zero km? O que você me conta aí Ricardo? Tchau aqui, eu retivo em geral ou troco o motor? Qual compensa mais? Trocar o motor, com o novo. Quais são os problemas desse motor aí? Tchau aqui, causa maior falta de manutenção. Olha isso aí galera. Olha o que tem no carro ali, olha aqui, o tamanho da folga, que é os dentes e nada por ali aqui, muito gasto. No caso que teria que trocar o kit com a lente completa, o motor tem folga axial.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:34:10+00:00"
"CjFrJg6VCjc","https://www.youtube.com/watch?v=CjFrJg6VCjc","success","180","90","Quantos quilômetros eu consigo rodar com 100% da carga do BYD Dofiminio 2026? Será que eu vou conseguir fazer uma boa autonomia nesse carro na estrada viajando? Duas pessoas a bordo e ar-condicionado ligado? É o que eu vou testar para vocês aqui hoje. Como é que vai funcionar, pessoal? O proprietário do carro me entregou ele com 100% da carga. E para chegar até aqui no ponto de partido, eu rodei 9 km e consumiu 2% da bateria. Não peguei trânsito, nem semáforo. E aqui, 374 km é a autonomia desse carro. Será que ele roda 374 km? Então vamos lá pessoal, vamos iniciar aqui o nosso teste, coloquei em Drive. Vamos sair igual a gente sai lá nos carros a combustão também. Bem suave, bem tranquilo. Chegamos aqui na marca dos 31 km rodados, 91% de bateria ainda. E ele está configurado aqui para economizar o máximo, o modo eco ativado. E modo de regeneração de bateria alto, que é o máximo para regenerar. Quando você tira o pedo acelerador, ele já dá aquela freada para regenerar mais as baterias. Só que viajando não faz tanto sentido, faz mais sentido dentro da cidade. Porque você tira muito o pedo acelerador e ele regenera mais as baterias. Chegamos aqui na marca dos 82 km. E aí a gente tem ali 74% de bateria, 111 km e temos 63% de bateria. Então a gente está chegando perto da metade da carga dessa bateria. Eu vou testar esse carro na cidade também para vocês. Você vai ver como é que é a autonomia desse carro na cidade, tá? Se vocês não quiserem perder esse vídeo, é só seguir esse perfil. Vamos ajudar a ir bater 2 milhões de seguidores. E chegamos aqui na marca dos 50% de bateria. 150 km foi o que ele rodou até agora. Será que a gente vai conseguir bater 300 km?","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:34:43+00:00"
"nP0q6x1Uqs0","https://www.youtube.com/watch?v=nP0q6x1Uqs0","success","179","90","A culpa do Brasil estar enchendo de carro elétrico é desse aqui, o BYD Dolphin, que agora mudou e custa R$159.000. Em 2023, carro elétrico era artigo de luxo e mesmo as marcas tradicionais não tinham competitividade no mercado e por R$149.000 no modelo anterior apareceu um tal de Dolphin. E aí que surgiu algo chamado de efeito Dolphin, um carro elétrico que custava um pouco mais que o Volkswagen Nivus, mas que era mais cumprido, mais rápido e o principal, com R$40 você rodava R$300.000. Quase um ano depois surgiu o Dolphin Mini, que é hoje o mais endido do Brasil, mas que usa o nome Dolphin e não siga o como usa lá fora, justamente porque o sucesso era tanto, que a BYD não quis nem trocar o nome. Três anos depois, e é hora de mudar o carro que mudou o mercado de carros elétricos do Brasil, ele ficou assim. Só que tinha uma coisa que dava discussão no meio dessa história, o tamanho do carro. Vocês podem ver que ele é tão cumprido quanto muito é Silve do mercado brasileiro, porque tinha que caber a bateria, e consequentemente o carro era cumprido a ponto de ter se tornado o queridinho do transporte no Brasil. Acabamento ajudou demais, porque era um padrão que a gente não tinha no segmento, hoje muitas marcas já melhoraram, bem como a gente não tinha tanta tela e fazer sucesso que ela virava, mas ela não vira mais. E você que estava comigo na época do efeito Dolphin vai lembrar que a tela era pequena, aumentou, todo mundo queria e agora tem GPS. Para você ir para frente para trás era um comando aqui no centro que agora veio para coluna, o que eu não sei se é melhor, mas mudou. Um time que está ganhando não se mexe, então o que eles fizeram foi manter as saídas de ar no estilo da linha Ocean, que dava que falar porque o carro todo tem inspirações em golfinho, como o próprio nome, e eles...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:35:19+00:00"
"JGzj254Kgs4","https://www.youtube.com/watch?v=JGzj254Kgs4","success","554","90","esse é o Shangan Lumin, é uma coisa que eu vou pedir pra você respirar firme, segurar e pensa comigo, deixa eu falar pra você que desgrama isso daqui, não que isso não, um carro, só um carro de brinquedo, sim, é um carro 100% elétrico, uso urbano, para rodar na cidade, mesmo porque ele nem chega a 100 por hora, ele chega a 99 e qual que é o lance aqui desse carro? Preste, esse carro custa hoje um pouquinho abaixo dos 5 mil dólares, 100% elétrico, 0 quilômetro, 5 mil dólares, que se a gente converter e botar ali 100% de luz, olha, olha, até a carinha de mal, ele fica na faixa dos 40 mil reais, aí eu te pergunto, um carrinho urbano para você rodar na cidade, pequenininho, 0 quilômetro, por 40 contos, quase metade de um quide começa a ficar interessante, deixa eu, vamos começar por trás, foi o que ela disse, bonitinho, o conjunto óptico aqui, ele abre por aqui e aí você tem acesso, quase não tem para dar luva, quase não tem para dar luva, quase não tem para dar mala, se você precisar carregar a coisa, você vai ter que deitar os bancos, é isso.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:35:43+00:00"
"6qSnrkGd70I","https://www.youtube.com/watch?v=6qSnrkGd70I","success","851","90","ó ainda tá passando água aqui ó é sem os amigos e hoje aqui vamos trocar o fluido de arrefecimento é meus amigos chegou o grande dia a gente fazer aquela limpeza top vamos colocar aqui um filtrinho olha que legal esse filtrinho aqui de vidro e eu já iniciei né o processo ontem a noite porque pra você fazer um serviço bacana demora tá demora fazer as lavagens colocar o limpa radiador isso tudo demora então retiramos aqui o aditivo velho que estava aqui na verdade era um mais um corante um aditivo velho fizemos a lavagem sem utilizar ainda o limpa radiador e não saiu sujeira até o sistema aparentemente está bom tá depois de depois que a gente fez duas lavagens sem utilizar o limpa radiador colocamos o limpa radiador deixamos o carro esquentar de novo chegar na temperatura ideal para fazer a drenagem fiz três drenagens tá depois do limpa radiador para a gente poder eliminar né toda a espuma e tal e conseguimos obter um resultado bacana e o nosso sistema está apenas com água água de torneira para fazer a lavagem tem que ser com água de torneira e vamos retirar essa água de torneira colocar cinco litros de água","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:36:52+00:00"
"aXbFPJMVGKw","https://www.youtube.com/watch?v=aXbFPJMVGKw","success","1731","90","E é seu, novo Shanganinete, o carro que é o melhor custo disparado entre os SUVs médios, preço de renegade, um espanco em qualquer outro carro da categoria, porém eu não compraria. E aqui a gente tem o motor 1.5 Turbo, que faz esse carro ser um foguete, um belo acabamento, um belo sistema de autopilotagem, com preço de nivus, isso sem contar no design e nas rodonas aqui, também Aruvinte, hein? No vídeo de hoje a gente vai ver tudo sobre esse carro aqui, vamos falar de todo esse design, vamos falar da motorização, do câmbio, do espaço interno, do belíssimo acabamento, e é claro que a gente vai levar, dar um rolê e ver qual é que é. E claro que não tem lugar, o melhor para começar a falar do Shanganinete, Lucas, é o Niter, eu sei mas o Niter fica mais fácil falar, né? Luka, aqui a parte da frente é bem que eu sinto pelas pessoas mais legais do mundo, como a fronteira, é uma belíssima fronteira, verdade seja dita, é um carro bem arigudo, como este, que vos fala, é realmente bem bonito, todo conjunto LED aqui, também esse formato aqui, também é um carro bonito para caramba, eu gosto de carro azul, eu sou completamente derrotado quando eu vejo um carro azul, mas vamos falar do que interessa, que é a motorização. E abrindo aqui, então, tiaos excesso.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:38:05+00:00"
"RTZHxSE2t5M","https://www.youtube.com/watch?v=RTZHxSE2t5M","success","1392","90","Mecânicos desesperados em pânico porque estão despejando carros alucinadamente aqui no nosso país, importados chineses, eletrificados e híbridos. Afinal, existe realmente um motivo para se alar de esse pânico, porque muito carro sem peça vai encalhar nas oficinas? Será que realmente vai acontecer um grande gargalo no setor de reparação automotiva? Bora para o vídeo que eu vou responder essa questão polêmica. Fala aí tudo beleza, meu nome é Vinícius e se sejam bem-vindos para mais um vídeo aqui no canal. Pessoal, aqui no canal eu tenho abordado assuntos do momento, que são carros chineses que estão vendendo muito bem, estão ultrapassando vendas de montadoras aqui no país que fabricam o carro aqui, sendo que muitos desses carros ainda estão naquele período de tentar nacionalizar isso aqui no país de forma muito assim básica, tipo SKD e CKD. Muita gente fala disso também, o que que é SKD? O que que é CKD? Pessoal, SKD, o carro vem semidez montado da China e aqui é finalizada a montagem, não faz pintura, não solta nem nada. Já o CKD vem totalmente desmontado da China e aqui sim é soldado e pintado, porém sem o processo de estamparia, por exemplo, Yaris Cross da Toyota, ele é 100% feito aqui no caso, claro que tem peças que vêm de fora, obviamente, mas o nível de nacionalização","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:39:17+00:00"
"UtWYJfldWHA","https://www.youtube.com/watch?v=UtWYJfldWHA","success","2152","90","Mais um dia na nossa pista de testes, mais uma marca chinesa estreando no Brasil, agora é a Kaoha Shangan. A Kaoha está trazendo mais uma marca chinesa para o Brasil, mas ela já sabe como fazer as coisas para vimentar um caminho de longo prazo. A Shangan chega com a mesma estratégia da Cherry, um carro com motor a combustão feito no Brasil e que já tem motor flex e toda tropicalização para o mercado brasileiro. Prazer, esse daqui é o Kaoha Shangan UNT. Vamos lá conhecer ele. A Shangan tem argumentos para não ser apenas mais uma marca chinesa no Brasil, mas antes de eu te explicar o motivo, não deixe de se inscrever aqui no canal da Quatro Rodas e clicar no sininho para você ser notificado a cada novo vídeo que aparecer por aqui e apontando seu celular para esse QR Code ou clicando no link aqui na descrição do vídeo. Você pode assinar todo o conteúdo da Quatro Rodas e receber a revista na sua casa todos os meses. Não parece, mas você conhece sim a Shangan, porque ela já esteve no Brasil até uns anos atrás com outro nome, Shana. Não pegou muito bem, depois eles mudaram de nome, mas nessa primeira fase, em nenhum momento, eles venderam algo diferente de caminhões e vans comerciais, bem pequenos com motor 1.0. Houve uma onda de caminhões...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-20T20:40:25+00:00"
