slot_group,priority_rank,post_id,creator,title,video_type,followers,views,likes,comments,engagement_pct,post_date,duration_seconds,selection_reason
review_primary,1,P-Pr_DiYeTg,CarroChefe,VALE A PENA COMPRAR UM V8 USADO? VALE! Avaliação Camaro 2012,long,1690000,274772,19484,908,7.42,2026-06-08T20:58:17,1416,review de usado com modelo e ano explicitos; forte sinal de compra e avaliacao
review_primary,2,kqZ2uDy8Uko,stanleyravagnani,TEST DRIVE E AVALIAÇÃO NOVO NISSAN KICKS EXCLUSIVE 2026 | MAIS DE 800KMS RODADOS EU COMPRARIA?,long,220000,30458,1917,184,6.90,2026-04-13T22:44:50,2737,review/test drive de carro novo com ano e versao explicitos
review_primary,3,AdHJ5Xy0X48,OpiniãoSincera,Renault BOREAL vale a pena comprar? Melhor SUV? Preço consumo problema. Ponto bom e ruim AVALIAÇÃO,long,2170000,28585,2671,309,10.43,2026-06-26T21:00:18,2403,avaliacao com intencao de compra e sinais de preco consumo pontos positivos e negativos
review_primary,4,jTtiWaybMvw,Meu Carro Life Style,O SUV USADO mais PROCURADO DESEJADO e VENDIDO DO BRASIL! RENAULT DUSTER 1.6! (Avaliação),long,1660000,86993,6159,231,7.35,2026-03-23T23:09:00,2007,review de usado com recorte de mercado e modelo especifico
review_primary,5,0CMfwALqz-E,OpiniãoSincera,Volkswagen GOLF Variant 2017: É bom? Vale a Pena? Avaliação problemas review consumo preço,long,2170000,19840,1997,141,10.78,2026-06-05T21:00:36,1602,review de usado com ano explicito e criterios de decisao
review_primary,6,PpjLnq8mv50,decaronacomleandro,7 MOTIVOS PARA COMPRAR O NOVO HONDA WR-V. CONSUMO REAL + AVALIAÇÃO,long,326000,24696,1712,110,7.38,2026-03-17T14:00:03,486,review de carro novo com consumo real e motivos de compra
review_primary,7,x8kFKNMFsg0,CarroChefe,NOVO Hyundai i20 2027: Vale a pena? ou Tera é melhor?,long,1690000,281657,20941,2210,8.22,2026-06-12T14:59:21,1261,review de carro novo com comparacao e intencao de compra
review_primary,8,CJloy4kzRA8,CarroChefe,O Novo Renegade Híbrido Que Mudou Tudo pra melhor e pra pior tb - Avaliação NOVO Renegade Hibrido,long,1690000,67056,6399,374,10.10,2026-07-10T20:56:33,1413,review de carro novo com powertrain hibrido e pontos positivos/negativos
review_primary,9,-9Ggzcf1cFM,CarroChefe,NOVO AUDI Q5 BORA GERAL PRA MAMAR! Avaliação Audi Q5 2026,long,1690000,114686,10420,358,9.40,2026-04-22T20:56:50,1574,review de carro novo premium com ano explicito
review_primary,10,3gJE2PN7970,CarroChefe,Avaliação NOVO BYD SONG PRO 2026 - O MAIS VENDIDO DA BYD,long,1690000,136763,9727,499,7.48,2026-05-18T20:58:00,1591,review de carro novo eletrificado com marca modelo e ano explicitos
