"post_id","evaluation_stage","input_evidence_level","input_description_status","niche","sub_niche","sub_sub_niche","content_type","audience_intent","vehicle_brand","vehicle_model","vehicle_year_or_generation","automotive_system","component","problem","confidence_score","evidence_summary","taxonomy_gaps","validation_issues","needs_human_review","model_used","round_id"
"pINW53ErjQI","gpt55_entrega_1_descricao","titulo_metadados","ausente","","","","alerta","evitar_prejuizo","","","","","","","0.20","Titulo e metadados indicam alerta generico, mas nao ha evidencia automotiva suficiente para atribuir nicho.","fora_escopo_automotivo; alerta_generico_nao_automotivo","sem descricao real; titulo ambiguo; amostra pode conter video fora do dominio","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"_j1gOOnjgcU","gpt55_entrega_1_descricao","titulo_metadados","ausente","manutencao","","","tutorial","aprender_manutencao","","","","","","","0.55","Hashtags e titulo sugerem dica pratica automotiva, mas o procedimento especifico nao aparece no titulo.","procedimento_manutencao_generico","sem descricao real; sub_niche nao deve ser inferido sem evidencia do procedimento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"z55GnDEg7_U","gpt55_entrega_1_descricao","titulo_metadados","ausente","manutencao","manutencao_motor","","educativo","evitar_prejuizo","","Kwid","","motor","","","0.68","Titulo fala de custo do motor do Kwid; a leitura mais provavel e manutencao/reparo de motor, mas o tipo de servico nao esta explicito.","orcamento_manutencao; custo_reparo; retifica_motor","marca nao explicita; motor deve ficar como sistema ou rota contextualizada, nao como componente solto","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"CjFrJg6VCjc","gpt55_entrega_1_descricao","titulo_metadados","ausente","powertrain","eletrico","","review","entender_powertrain","BYD","Dolphin Mini","","powertrain","","","0.82","Titulo explicita teste de autonomia de um BYD Dolphin Mini, forte sinal de motorizacao eletrica e experiencia de uso.","autonomia_eletrica; bateria_tracao; teste_consumo_energia","conteudo cruza powertrain com teste/review; falta subestrutura para autonomia e bateria de tracao","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"nP0q6x1Uqs0","gpt55_entrega_1_descricao","titulo_metadados","ausente","powertrain","eletrico","","noticia","acompanhar_lancamento","BYD","Dolphin SE","","powertrain","","","0.78","Titulo fala de eletricos no Brasil e novo BYD Dolphin SE com preco, misturando motorizacao eletrica e mercado/lancamento.","mercado_eletrificados; lancamento_eletrico; preco_veiculo","classificacao exige eixo secundario de mercado sem deslocar eletrico para eletrica_eletronica","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"JGzj254Kgs4","gpt55_entrega_1_descricao","titulo_metadados","ausente","compra_venda","carro_popular","","opiniao","decidir_compra","","","","","","","0.75","Titulo usa carro popular, zero km completo e pergunta de compra, com forte sinal de decisao comercial.","zero_km; faixa_preco_salarios; proposta_de_valor","sem descricao real; marca/modelo ausentes impedem validacao de entidade","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"6qSnrkGd70I","gpt55_entrega_1_descricao","titulo_metadados","ausente","manutencao","arrefecimento","","tutorial","aprender_manutencao","","","","arrefecimento","","","0.88","Titulo indica procedimento para limpar e manter agua do radiador, caso claro de manutencao do arrefecimento.","radiador_componente; limpeza_sistema_arrefecimento","radiador nao existe como componente canonico no doc 32","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"aXbFPJMVGKw","gpt55_entrega_1_descricao","titulo_metadados","ausente","review","test_drive","","review","decidir_compra","Changan","Uni-T","exact_year:2026","","","","0.84","Titulo explicita avaliacao do Changan Uni-T 2026, apesar do gancho competitivo contra VW, Jeep e Toyota.","avaliacao_lancamento; comparacao_editorial_indireta","ano aparece como valor real e nao encaixa bem no codigo exact_year sem campo de valor separado","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"RTZHxSE2t5M","gpt55_entrega_1_descricao","titulo_metadados","ausente","mercado","","","opiniao","entender_mercado","","","","","","","0.70","Titulo sugere leitura editorial sobre impacto de muitos carros no mercado, com tom de alerta e debate setorial.","qualidade_durabilidade; carros_descartaveis; impacto_mercado","sub_niche de mercado insuficiente para tema de durabilidade/qualidade percebida; sem entidades explicitas","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"UtWYJfldWHA","gpt55_entrega_1_descricao","titulo_metadados","ausente","mercado","lancamentos","","noticia","acompanhar_lancamento","Caoa Changan","Uni-T","","powertrain","","","0.82","Titulo informa estreia nacional do Caoa Changan Uni-T, preco e versao flex; o tema principal e lancamento com detalhe de powertrain.","multi_nicho_mercado_review_powertrain; preco_lancamento; flex_como_detalhe_tecnico","flex e powertrain aparecem como atributos relevantes, mas a rota principal continua mercado/lancamento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
