"post_id","video_url","transcription_status","input_duration_seconds","transcribed_duration_seconds","transcript_90s","language","whisper_model","compute_type","source_method","error_message","created_at"
"P-Pr_DiYeTg","https://www.youtube.com/watch?v=P-Pr_DiYeTg","success","1416","90","E é seu, Chevrolet Camaro V8 2012, sim o Camaro amarelo da música, sim o Camaro amarelo do Bubble Bee, e é sim um carro muito legal que custa menos do que você pensa. E apesar do que você pode pensar, não é um carro que tem problemas crônicos, muito pelo contrário. Motor V8 tão aspirado, câmbio automático, convencional, tração traseira, mas é claro que não é um carro para qualquer um, afinal de contas bebe mais que você no carnaval, que já é de se esperar, afinal de contas, V8 tão aspirado e um carro bem pesado, e ó, bem difícil de levar alguém aqui no banco de trás, no vídeo de hoje eu vou mostrar tudo isso para vocês, vamos falar da motorização, vamos falar do quase que inexistente espaço interno da inexistente visibilidade do porta para os outros, e é claro que a gente vai levar essa máquina a dar um rolê e ver qual é que é. E é claro que não tem lugar melhor para a gente começar a falar do Camaro V8 e S, a parte da frente também que eu distinto pelas pessoas mais legais do mundo, como a fronteira, acho a fronteira bem bonita, bem pontuda, bem nariguda, como este que vos fala, é um carrinho bem bonito. Na época, farolzinho tudo luzinha, amarelinha mesmo, infelizmente, mas é, né, um homem de seu tempo, né, o capoeira é bem alto aqui do meio, o que é bem legal quando","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:01:10+00:00"
"kqZ2uDy8Uko","https://www.youtube.com/watch?v=kqZ2uDy8Uko","success","2737","90","Fala pessoal do YouTube, beleza? Sejam muito bem-vindos a mais um vídeo, é um prazer enorme ter você comigo aqui neste canal de apresentação de carros. E hoje chegou o dia de a gente saber tudo aí sobre o novo Nissan Kicks, nessa versão aqui a Exclusive. Podemos dizer que seria uma intermediária, é abaixo da topo de linha, a Platinum, nesse belíssimo azul oceânico. Se eu fosse pegar um Kicks, seria nessa cor aqui. Olha que azul maravilhoso, galera. Vamos conhecer todos os detalhes desse carro aqui hoje. A parte externa, interna, motorização, a tecnologia, a segurança embarcada, um pouquinho de suspensão, os pontos positivos e negativos, vai ser uma avaliação justa e no final aí vamos dar uma voltinha com ele também. Lembrando que a Nissan me emprestou esse carro aqui gentilmente, já estou há mais de uma semana com ele galera. Então eu já peguei todos os macetes, todos os pontos positivos e negativos desse carro. Eu estou rodando todo santo dia com ele, eu já rodei aí, acho que facilmente mais de 800 quilômetros com essa unidade. Já peguei chuva, rodovia, cidade, dia de calor, dia de frio. Então eu estou com uma base boa para falar desse carro, tem muita gente que quer saber sobre ele. Eu tenho muito comentário no Instagram. Stanley, posta logo os vídeos aí que eu estou curioso, estou querendo comprar um.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:02:31+00:00"
"AdHJ5Xy0X48","https://www.youtube.com/watch?v=AdHJ5Xy0X48","success","2403","90","Este é o Renault Boreal, um SUV lançado em 2025, que ganhou um monte de prêmios e que trouxe os sentimentos mais profundos. Será que é bom? Olha, a gente gosta muito dele, já viajei com esse carro, é um dos carros que eu mais gosto da categoria, mas a gente quer conversar e mostrar alguns pontos bem interessantes para vocês. Os amigos, trouxe o baixinho para gravar com a gente, isso significa que hoje o papo vai ser bom. Renault Boreal, nossa versão icônica, tudo destrinchado para você estar por dentro deste carrinho, que na verdade é um baita de um carrão e aí nós vamos ver se ele é bom ou não. Olha meus amigos, a gente considera esse carro tão importante, mas tão importante que nós estamos trazendo aqui de volta uma antiga tradição do canal. Vamos gravar. Eu gostava de ter tempo de não fazer isso. Fazer tempo, a gente tem tanto vídeo para gravar que a gente termina se dividindo para dar conta de tudo, né? Pois é, não é que a gente não goste de gravar junto, na verdade a gente adora, mas para dar conta do recado só se dividindo. Porém, eu acho que o Boreal tem um peso tão importante, a gente gostou tanto deste carro e ele divide tanto as opiniões da internet que só a gente entendendo junto realmente o que este carro aqui representa, para a gente conseguir passar essa sensação para vocês, que realmente são essas pessoas interessadas aqui em um SUV 100% nacional e que traz muitas...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:03:48+00:00"
"jTtiWaybMvw","https://www.youtube.com/watch?v=jTtiWaybMvw","success","2007","90","Se você estiver procurando um SUV ou crossover, um carro alto, na casa de R$ 50.000, provavelmente você vai pesquisar pelo Renault Duster, porque é um dos carros mais desejados e procurados e até vendidos dessa categoria, barato, robusto, suave de manter, por isso que todo mundo quer mais, nem tudo são flores. Aqui nesse vídeo, vamos saber se realmente vale a pena você comprar um carro desse hoje em dia. Bom, bora pro vídeo. E eu só estou conseguindo gravar esse conteúdo para você, graças a Cars Garage, que é uma loja de carros na cidade de Jacareí, Vale do Paraíba, São Paulo, então peço para vocês aquela força, siga-os no Instagram e tem endereços e contatos para você vir na loja e fazer uma visita. O Renault Duster é um SUV de porte compacto derivado diretamente do primeiro sandeiro lá na Romênia, porque esse carro aqui é um Dacia pessoal, mas que raios é esse de Dacia, que muita gente fala Dacia, é uma marca do grupo Renault, que produz carros para o leste europeu e Europa, sendo carros muito resistentes, feitos para intempérias climáticas, de solo, de rodovias, por isso que a Renault resolveu trazer esse carro para cá e produzir no Brasil, lá na Europa ele foi lançado em 2010. E por aqui no Brasil foi lançado no final do ano de 2011.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:05:05+00:00"
"0CMfwALqz-E","https://www.youtube.com/watch?v=0CMfwALqz-E","success","1602","90","Fala aí meus amigos, tudo bem com vocês? Conhecem aquela expressão save the wagons? Eu trouxe uma wagon pra vocês aqui. Volkswagen Golf Variante. Na sua versão mais legal, mais porta-malas, mais bonita na minha opinião. E que infelizmente hoje já não faz mais sucesso uma categoria que não existe praticamente mais no mercado brasileiro. Mas como ele é? Quais são os equipamentos? Qual é o motoro que tem de equipamentos? Qual é a vantagem dela? E principalmente, quais são os problemas desse carro que, dependendo do ano, pode incomodar bastante? Vem comigo que eu vou te mostrar tudo agora. Antes dessa febre dos SUVs, as wagons ou as piruas faziam muito sucesso no mercado, a fora, mas no mercado brasileiro também. Quem não teve um aparati, quem não teve uma ipanema, de repente uma ômega-suprema já era mais caro, né? Corsa, wagon, Pally Weekend, uma infinidade de piruas que nós tivemos no nosso mercado, né? Hoje em dia, infelizmente, o público não gosta mais e não é só no Brasil, maioria dos lugares do mundo. Na Europa ainda tem alguma coisa de pirua, mas pouco ainda também. Nos SUVs realmente dominaram. E no Brasil faz muito sentido, na verdade, o SUV, né, pela...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:06:24+00:00"
"PpjLnq8mv50","https://www.youtube.com/watch?v=PpjLnq8mv50","success","486","90","preço de SUV de entrada mas com porte e conteúdo alinhado aos SUVs compactos. Esse é o novo Honda WRV e eu vou te mostrar nesse vídeo 7 motivos para comprar este carro. Fala galera de carona Leandro Nária com o novo Honda WRV, um SUV com 126 cavalos de potência, motor aspirado flex, tem duas versões EX e esta top de linha XL, é fabricado no Brasil, tem seis airbags e um módico da categoria com garantia total de seis anos. Além disso, é um carro econômico. Nas duas versões, o WRV vem equipado com motor 1.5 aspirado de 16 válvulas, quatro cilindros e injeção direta de combustível, tem corrente de comando, entrega até 126 cavalos de potência e 15,8 quilograma força metro de torque, tapareado com câmbio do tipo CVT de sete marchas e tem tração dianteira. Detalhes de acabamento, tem manta acústica e varitão para segurar o capô. Com esse conjunto, rodas de liga leve de 17 polegadas e pesando 1.278 quilos, o novo WRV faz pelo 1 metro 12 quilômetros por litro na cidade e 12.8 na estrada. No meu teste de consumo real com","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:06:53+00:00"
"x8kFKNMFsg0","https://www.youtube.com/watch?v=x8kFKNMFsg0","success","1261","90","Lhe é seu, o novo Hyundai i20, sim, ele fica acima do HB20 e abaixo do Creta, pra concorrer com pússio, com tera e sendo mais tecnológico, principalmente sendo maior, tendo disparado maior entre estes da categoria. E o visual que vai dividir opinião especialmente aqui na traseira, mas no vídeo hoje a gente vai mostrar tudo sobre esse carro aqui, vamos falar da motorização, vamos falar do belíssimo espaço interno, do acabamento da lista de equipamento e é claro que a gente vai levar, dar o rolê na pista e ver qual é que é. E é claro que não tem lugar melhor pra gente começar a falar do i20 do que aqui, a parte da frente também que eu estive pelas pessoas mais legais do mundo como a fronteira, eu gostei, a fronteira é bonita, né, o conjunto óptico, todo LED aqui, a fronteira do carro realmente achei bem bonita, bem bonita, mas vamos falar do que interessa, que é motorização. E abrindo aqui, então, temos excesso ao coração da fera, não temos manta acústica e apenas vergonha merecer ter braços pantográficos, vamos lá, o motor aqui é o mesmo do HB20, o que é bom, né, o motor que a gente já conhece, sabe que é um motorzinho bem esperto, três cilindros, turbo, corrente de comando, nada de correr adentada em ambos os combustíveis são 115 cavalos e 17.5 de torque a 1500 giros, motorzinho bem esperto, tudo isso com câmbio automático igualzinho do HB20, automático de seis velocidades, nada de","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:08:17+00:00"
"CJloy4kzRA8","https://www.youtube.com/watch?v=CJloy4kzRA8","success","1413","90","Esse é o novo Jeep Renegade híbrido e por incrível que pareça, finalmente conseguiram fazer um Renegade mais econômico. Mas calma que não é o que você está pensando, não é o híbrido pleno, como um Corolla, por exemplo, nem o híbrido plug-in, é um híbrido leve, só que um pouquinho melhor do que os sistemas que estão lá no Pulse e no Fastback. E no vídeo de hoje eu vou mostrar tudo pra você sobre essa máquina, vamos falar da motorização, quanto que esse sistema híbrido adiciona de potência, como funciona e por que melhora o consumo das pioras no interior aqui desse carro. E é claro que a gente vai levar a dar um rolê e ver qual é que é. E é claro que não tem lugar maior pra gente começar a falar aqui do novo Renegade, a V2027, do que a parte da frente também crescida pras pessoas mais iguais do mundo, como a fronteira. A fronteira que mudou, né, ficou uma espada chocudo do jeito que eu gosto, né, você vê que a gente tem essas grade aqui, parece, acho que, talvez, pra já acostumar a gente com o novo Avenger que está pra chegar, inclusive eles tiraram de linha o Renegade Sport, que era a versão lá de 119, acho que já dando uma pista enquanto que vai costar o Avenger, pelo menos nas versões de entrada, né, conjunto óptico, todo LED aí, como você já tá acostumado, mas vamos falar do que interessa, que é motorização. E abrindo que então temos excesso ao coração da fera, manta acústica de belíssima qualidade, mas só ver e ti, eu merece ter braço, muito gravo, você ainda mais.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:09:41+00:00"
"-9Ggzcf1cFM","https://www.youtube.com/watch?v=-9Ggzcf1cFM","success","1574","90","Esse é o novo Audi Q5 2026, tem tração integral, tem interior luxuoso e se você tem uma boa grana para gastar, é um dos melhores SUV Premium que você pode comprar. Afinal de contras, traz um visual mais slick, o interior muito luxuoso, cheio de novas tecnologias, até uma tela para o passageiro tem e principalmente conta com o sistema de tração, 4 tração nas 4 rodas e espetacular, porém o preço pés e pesa bastante. No vídeo de hoje a gente vai ver tudo sobre essa máquina e vamos levar ao rolê e ver qual é que é. E é claro que não tem lugar melhor para começarmos a falar do que sim, do que aqui. A parte da frente é bem curtida para as pessoas mais legais do mundo, como a fronteira, a fronteira é bem legal, bem bonita, está aí, tudo isso, bem legal, essa frente nova meio slick assim para frente, sei lá, eu achei bem bonito. Conjunto óptico, claro, tudo é LED, você está vendo aí e tal, agora, o que é muito louco é que quando você trava, ele faz aqui, beleza, e aí você destrava, ele faz uma dancinha aqui para te receber, olha, sorra, parece um cachorrinho feliz que o dono chegou. Mas vamos falar do que interessa, que é montorização. E o menino aqui então, temos acesso ao coração da fera, mas antes, uma antacústica de belíssima, qualidade de braços pantográficos, pronto.","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:11:04+00:00"
"3gJE2PN7970","https://www.youtube.com/watch?v=3gJE2PN7970","success","1591","90","Let's see a Song Pro GS 2026, um dos SUVs e um dos mais vendidos do Brasil, um dos que você mais vê pela rua. E no vídeo de hoje a gente vai ver tudo sobre esse carro aqui e ver se ele é ou não melhor do que o Aval e que o J.C.S.T também. Afinal de contas, todos tem preços bem similares e medidas bem similares. J.C.S.T e o Aval com 1.5 turbo mais bateria, esse aqui 1.5 aspirado mais bateria. É o contrário dos outros, esse não conta com carga rápida. No vídeo de hoje a gente vai ver tudo sobre esse carro e vamos levar a dar um rolê e ver qual é que é. E é claro que ele não tem lugar melhor para a gente começar a falar do billet de song do que aqui. Aparos da frente também considero pelas pessoas mais legais do mundo como a fronteira. A fronteira é bem bonita, especialmente nesse azuzinho, hein. Eu vou confessar um segredo aqui para vocês. Eu tenho uma queda gigantesca por carros azuis. Carros azuizes, é realmente bem, bem bonito carrinho azul. Eu gosto bastante, né. Todo conjunto óptico aqui LED, tudo isso é bem legal, tudo isso é bem bacana. Mas vamos falar do que realmente interessa, que é motorização. E abrindo aqui então, temos acesso ao coração da fera. Mas antes, manta acústica de belíssima qualidade e brechas pantográficos. Aí sim, porque...","pt","small","int8","yt-dlp+faster-whisper-local","","2026-07-23T16:12:27+00:00"
